persona_id,question_id,average_score,standard_deviation
0,1,3.8,0.4216370213557839
0,2,5.0,0.0
0,3,0.4,0.6992058987801011
0,4,0.0,0.0
0,5,0.0,0.0
0,6,2.4,0.5163977794943223
0,7,5.0,0.0
0,8,2.4,0.6992058987801011
0,9,1.2,0.7888106377466155
0,10,0.0,0.0
0,11,2.3,0.48304589153964794
0,12,5.0,0.0
0,13,0.5,0.5270462766947299
0,14,4.1,0.31622776601683794
0,15,0.0,0.0
0,16,4.5,0.5270462766947299
0,17,5.0,0.0
0,18,3.6,0.9660917830792959
0,19,3.1,0.31622776601683794
0,20,4.9,0.31622776601683794
0,21,5.0,0.0
0,22,5.0,0.0
0,23,5.0,0.0
0,24,2.0,2.581988897471611
0,25,0.0,0.0
0,26,5.0,0.0
0,27,4.6,0.5163977794943222
0,28,4.5,0.5270462766947299
0,29,4.1,0.9944289260117533
0,30,3.0,0.0
1,1,5.0,0.0
1,2,5.0,0.0
1,3,1.4,0.9660917830792959
1,4,0.3,0.6749485577105528
1,5,1.0,2.1081851067789197
1,6,5.0,0.0
1,7,5.0,0.0
1,8,5.0,0.0
1,9,0.0,0.0
1,10,5.0,0.0
1,11,5.0,0.0
1,12,5.0,0.0
1,13,5.0,0.0
1,14,5.0,0.0
1,15,1.0,2.1081851067789197
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,4.1,0.9944289260117533
1,20,5.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,5.0,0.0
1,24,0.0,0.0
1,25,0.5,1.5811388300841898
1,26,4.4,0.8432740427115678
1,27,5.0,0.0
1,28,5.0,0.0
1,29,0.0,0.0
1,30,3.4,0.8432740427115678
2,1,5.0,0.0
2,2,5.0,0.0
2,3,2.6,0.5163977794943223
2,4,2.8,0.4216370213557839
2,5,3.4,0.6992058987801011
2,6,5.0,0.0
2,7,5.0,0.0
2,8,4.5,0.7071067811865476
2,9,2.6,0.5163977794943223
2,10,3.2,0.6324555320336759
2,11,5.0,0.0
2,12,5.0,0.0
2,13,3.4,0.6992058987801011
2,14,4.0,0.0
2,15,2.3,1.2516655570345725
2,16,5.0,0.0
2,17,5.0,0.0
2,18,5.0,0.0
2,19,4.5,0.5270462766947299
2,20,5.0,0.0
2,21,5.0,0.0
2,22,5.0,0.0
2,23,5.0,0.0
2,24,0.0,0.0
2,25,3.1,0.31622776601683794
2,26,5.0,0.0
2,27,4.0,0.4714045207910317
2,28,3.0,0.0
2,29,5.0,0.0
2,30,4.8,0.6324555320336759
3,1,4.9,0.31622776601683794
3,2,4.4,0.9660917830792959
3,3,1.8,1.0327955589886444
3,4,0.0,0.0
3,5,0.3,0.9486832980505139
3,6,5.0,0.0
3,7,5.0,0.0
3,8,2.7,0.6749485577105528
3,9,2.7,0.48304589153964794
3,10,2.5,2.6352313834736494
3,11,5.0,0.0
3,12,5.0,0.0
3,13,1.6,1.1737877907772674
3,14,3.8,0.7888106377466155
3,15,2.8,1.2292725943057183
3,16,5.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,4.7,0.48304589153964794
3,20,3.4,0.6992058987801011
3,21,5.0,0.0
3,22,5.0,0.0
3,23,5.0,0.0
3,24,5.0,0.0
3,25,2.8,2.485513584307633
3,26,5.0,0.0
3,27,4.9,0.31622776601683794
3,28,4.9,0.31622776601683794
3,29,5.0,0.0
3,30,3.4,0.8432740427115678
4,1,4.8,0.6324555320336759
4,2,5.0,0.0
4,3,2.8,0.4216370213557839
4,4,3.0,0.0
4,5,4.8,0.6324555320336759
4,6,5.0,0.0
4,7,5.0,0.0
4,8,5.0,0.0
4,9,5.0,0.0
4,10,2.5,0.5270462766947299
4,11,5.0,0.0
4,12,3.7,0.6749485577105528
4,13,5.0,0.0
4,14,5.0,0.0
4,15,3.7,0.9486832980505138
4,16,4.9,0.31622776601683794
4,17,5.0,0.0
4,18,5.0,0.0
4,19,5.0,0.0
4,20,3.2,0.4216370213557839
4,21,5.0,0.0
4,22,5.0,0.0
4,23,5.0,0.0
4,24,5.0,0.0
4,25,2.5,0.7071067811865476
4,26,2.9,0.5676462121975466
4,27,3.7,0.8232726023485646
4,28,3.0,0.0
4,29,2.4,0.5163977794943223
4,30,2.9,0.31622776601683794
5,1,1.6,0.8432740427115679
5,2,0.1,0.31622776601683794
5,3,1.0,1.3333333333333333
5,4,0.0,0.0
5,5,0.0,0.0
5,6,0.0,0.0
5,7,0.2,0.6324555320336759
5,8,0.0,0.0
5,9,0.0,0.0
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.0,0.0
5,14,4.9,0.31622776601683794
5,15,0.0,0.0
5,16,4.2,0.6324555320336759
5,17,5.0,0.0
5,18,5.0,0.0
5,19,3.5,0.5270462766947299
5,20,3.2,0.6324555320336759
5,21,5.0,0.0
5,22,5.0,0.0
5,23,4.8,0.4216370213557839
5,24,5.0,0.0
5,25,0.0,0.0
5,26,4.8,0.6324555320336759
5,27,5.0,0.0
5,28,5.0,0.0
5,29,4.9,0.31622776601683794
5,30,3.0,0.0
6,1,5.0,0.0
6,2,5.0,0.0
6,3,2.1,0.31622776601683794
6,4,0.0,0.0
6,5,0.0,0.0
6,6,5.0,0.0
6,7,5.0,0.0
6,8,5.0,0.0
6,9,2.5,0.7071067811865476
6,10,2.8,0.9189365834726815
6,11,5.0,0.0
6,12,5.0,0.0
6,13,2.6,0.5163977794943223
6,14,4.1,0.5676462121975466
6,15,2.0,0.816496580927726
6,16,5.0,0.0
6,17,5.0,0.0
6,18,5.0,0.0
6,19,4.5,0.5270462766947299
6,20,4.5,0.7071067811865476
6,21,5.0,0.0
6,22,5.0,0.0
6,23,5.0,0.0
6,24,0.0,0.0
6,25,2.8,2.2010098692292237
6,26,5.0,0.0
6,27,5.0,0.0
6,28,4.0,0.4714045207910317
6,29,5.0,0.0
6,30,4.8,0.6324555320336759
7,1,5.0,0.0
7,2,5.0,0.0
7,3,2.1,0.31622776601683794
7,4,2.1,0.31622776601683794
7,5,1.6,0.8432740427115678
7,6,5.0,0.0
7,7,5.0,0.0
7,8,4.0,0.0
7,9,1.1,0.31622776601683794
7,10,2.5,0.5270462766947299
7,11,5.0,0.0
7,12,5.0,0.0
7,13,3.6,0.6992058987801011
7,14,3.1,0.31622776601683794
7,15,1.9,0.31622776601683794
7,16,5.0,0.0
7,17,5.0,0.0
7,18,5.0,0.0
7,19,2.0,0.0
7,20,3.6,0.5163977794943223
7,21,5.0,0.0
7,22,5.0,0.0
7,23,3.7,0.48304589153964794
7,24,0.0,0.0
7,25,0.4,0.8432740427115679
7,26,3.9,0.8755950357709131
7,27,5.0,0.0
7,28,3.0,0.0
7,29,2.0,0.0
7,30,3.0,0.0
8,1,1.5,0.5270462766947299
8,2,2.2,0.4216370213557839
8,3,3.5,0.7071067811865476
8,4,2.5,0.5270462766947299
8,5,0.2,0.6324555320336759
8,6,2.3,0.6749485577105528
8,7,3.4,0.6992058987801011
8,8,2.7,0.48304589153964794
8,9,1.3,0.48304589153964794
8,10,0.0,0.0
8,11,2.7,0.6749485577105528
8,12,3.6,0.8432740427115678
8,13,2.8,0.6324555320336759
8,14,3.5,0.8498365855987975
8,15,2.6,0.5163977794943223
8,16,3.6,0.8432740427115678
8,17,4.5,0.7071067811865476
8,18,5.0,0.0
8,19,5.0,0.0
8,20,4.4,0.9660917830792959
8,21,5.0,0.0
8,22,3.2,0.6324555320336759
8,23,5.0,0.0
8,24,3.2,0.4216370213557839
8,25,0.0,0.0
8,26,5.0,0.0
8,27,4.6,0.8432740427115678
8,28,5.0,0.0
8,29,5.0,0.0
8,30,4.0,1.0540925533894598
9,1,3.9,1.1972189997378648
9,2,3.6,1.2649110640673518
9,3,0.5,0.5270462766947299
9,4,0.0,0.0
9,5,0.0,0.0
9,6,3.2,1.1352924243950935
9,7,5.0,0.0
9,8,3.7,0.6749485577105528
9,9,0.0,0.0
9,10,1.0,1.3333333333333333
9,11,5.0,0.0
9,12,4.2,1.3165611772087666
9,13,2.2,0.4216370213557839
9,14,3.3,1.0593499054713802
9,15,0.0,0.0
9,16,5.0,0.0
9,17,5.0,0.0
9,18,3.0,0.0
9,19,0.6,0.9660917830792958
9,20,3.8,0.7888106377466155
9,21,5.0,0.0
9,22,3.7,0.9486832980505138
9,23,3.1,0.5676462121975467
9,24,0.5,1.5811388300841898
9,25,0.8,1.7511900715418263
9,26,4.6,0.8432740427115678
9,27,4.9,0.31622776601683794
9,28,1.0,1.0540925533894598
9,29,2.4,1.9550504398153574
9,30,1.7,1.70293863659264
10,1,4.0,0.0
10,2,5.0,0.0
10,3,1.9,0.5676462121975467
10,4,0.0,0.0
10,5,0.3,0.6749485577105528
10,6,4.8,0.4216370213557839
10,7,4.9,0.31622776601683794
10,8,1.9,0.31622776601683794
10,9,0.3,0.4830458915396479
10,10,1.7,1.2516655570345725
10,11,5.0,0.0
10,12,5.0,0.0
10,13,2.0,0.0
10,14,3.6,0.5163977794943223
10,15,1.2,0.9189365834726815
10,16,5.0,0.0
10,17,5.0,0.0
10,18,4.1,0.31622776601683794
10,19,2.0,0.0
10,20,4.6,0.5163977794943222
10,21,5.0,0.0
10,22,5.0,0.0
10,23,4.1,0.31622776601683794
10,24,0.0,0.0
10,25,0.0,0.0
10,26,5.0,0.0
10,27,4.1,0.31622776601683794
10,28,3.1,0.31622776601683794
10,29,1.5,1.0801234497346435
10,30,3.0,0.0
11,1,5.0,0.0
11,2,5.0,0.0
11,3,2.0,0.0
11,4,0.7,0.9486832980505139
11,5,1.0,1.3333333333333333
11,6,5.0,0.0
11,7,5.0,0.0
11,8,3.9,0.31622776601683794
11,9,1.7,0.4830458915396479
11,10,2.0,0.0
11,11,5.0,0.0
11,12,5.0,0.0
11,13,2.5,0.5270462766947299
11,14,3.6,0.5163977794943223
11,15,0.0,0.0
11,16,5.0,0.0
11,17,5.0,0.0
11,18,3.0,0.0
11,19,3.7,0.48304589153964794
11,20,2.5,0.5270462766947299
11,21,5.0,0.0
11,22,5.0,0.0
11,23,3.7,0.48304589153964794
11,24,0.0,0.0
11,25,0.0,0.0
11,26,5.0,0.0
11,27,4.3,0.48304589153964794
11,28,3.7,0.48304589153964794
11,29,2.2,0.4216370213557839
11,30,3.2,0.6324555320336759
12,1,5.0,0.0
12,2,5.0,0.0
12,3,2.4,0.5163977794943223
12,4,1.0,2.1081851067789197
12,5,0.5,1.5811388300841898
12,6,5.0,0.0
12,7,5.0,0.0
12,8,3.2,0.7888106377466155
12,9,1.5,2.41522945769824
12,10,1.0,2.1081851067789197
12,11,5.0,0.0
12,12,5.0,0.0
12,13,5.0,0.0
12,14,4.6,0.699205898780101
12,15,5.0,0.0
12,16,5.0,0.0
12,17,5.0,0.0
12,18,3.7,0.9486832980505138
12,19,5.0,0.0
12,20,3.2,0.6324555320336759
12,21,5.0,0.0
12,22,5.0,0.0
12,23,5.0,0.0
12,24,0.5,1.5811388300841898
12,25,0.0,0.0
12,26,5.0,0.0
12,27,5.0,0.0
12,28,5.0,0.0
12,29,5.0,0.0
12,30,3.8,1.0327955589886446
13,1,5.0,0.0
13,2,5.0,0.0
13,3,1.0,0.0
13,4,5.0,0.0
13,5,0.0,0.0
13,6,5.0,0.0
13,7,5.0,0.0
13,8,3.3,0.48304589153964794
13,9,0.0,0.0
13,10,2.4,0.5163977794943223
13,11,5.0,0.0
13,12,5.0,0.0
13,13,2.5,0.5270462766947299
13,14,4.2,0.7888106377466155
13,15,0.1,0.31622776601683794
13,16,5.0,0.0
13,17,5.0,0.0
13,18,3.0,0.0
13,19,1.8,0.6324555320336759
13,20,4.8,0.6324555320336759
13,21,5.0,0.0
13,22,5.0,0.0
13,23,4.7,0.48304589153964794
13,24,0.0,0.0
13,25,3.3,2.359378449224852
13,26,5.0,0.0
13,27,5.0,0.0
13,28,0.4,0.5163977794943223
13,29,0.0,0.0
13,30,2.1,1.1972189997378646
14,1,5.0,0.0
14,2,5.0,0.0
14,3,1.4,0.5163977794943223
14,4,2.8,0.6324555320336759
14,5,1.4,0.9660917830792959
14,6,5.0,0.0
14,7,5.0,0.0
14,8,5.0,0.0
14,9,1.1,0.5676462121975467
14,10,4.6,0.8432740427115678
14,11,5.0,0.0
14,12,5.0,0.0
14,13,5.0,0.0
14,14,4.8,0.4216370213557839
14,15,4.9,0.31622776601683794
14,16,5.0,0.0
14,17,5.0,0.0
14,18,5.0,0.0
14,19,5.0,0.0
14,20,5.0,0.0
14,21,5.0,0.0
14,22,5.0,0.0
14,23,5.0,0.0
14,24,0.0,0.0
14,25,0.0,0.0
14,26,5.0,0.0
14,27,5.0,0.0
14,28,5.0,0.0
14,29,5.0,0.0
14,30,5.0,0.0
15,1,4.9,0.31622776601683794
15,2,4.5,0.5270462766947299
15,3,2.1,0.31622776601683794
15,4,2.2,0.4216370213557839
15,5,2.0,0.0
15,6,5.0,0.0
15,7,5.0,0.0
15,8,3.7,0.48304589153964794
15,9,2.0,0.0
15,10,2.1,0.31622776601683794
15,11,5.0,0.0
15,12,5.0,0.0
15,13,2.7,0.6749485577105528
15,14,3.2,0.4216370213557839
15,15,2.2,0.4216370213557839
15,16,5.0,0.0
15,17,5.0,0.0
15,18,4.0,0.0
15,19,3.5,0.5270462766947299
15,20,2.8,1.2292725943057183
15,21,5.0,0.0
15,22,5.0,0.0
15,23,4.1,0.31622776601683794
15,24,0.0,0.0
15,25,2.0,0.0
15,26,5.0,0.0
15,27,5.0,0.0
15,28,3.5,0.5270462766947299
15,29,1.8,1.6865480854231356
15,30,3.0,0.0
16,1,5.0,0.0
16,2,2.4,0.5163977794943223
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
16,6,3.1,0.9944289260117533
16,7,2.5,0.5270462766947299
16,8,3.0,1.0540925533894598
16,9,0.0,0.0
16,10,2.2,1.8737959096740262
16,11,2.1,0.5676462121975467
16,12,1.3,0.8232726023485646
16,13,2.0,0.0
16,14,2.3,0.48304589153964794
16,15,0.0,0.0
16,16,5.0,0.0
16,17,5.0,0.0
16,18,3.0,0.0
16,19,3.6,0.9660917830792958
16,20,5.0,0.0
16,21,5.0,0.0
16,22,4.9,0.31622776601683794
16,23,3.0,0.0
16,24,2.8,0.4216370213557839
16,25,2.3,0.9486832980505138
16,26,3.4,0.8432740427115678
16,27,5.0,0.0
16,28,1.9,0.7378647873726218
16,29,1.4,1.5055453054181622
16,30,3.0,0.0
17,1,5.0,0.0
17,2,5.0,0.0
17,3,2.1,0.31622776601683794
17,4,2.0,0.0
17,5,2.4,0.5163977794943223
17,6,5.0,0.0
17,7,5.0,0.0
17,8,5.0,0.0
17,9,1.9,0.31622776601683794
17,10,1.8,0.6324555320336759
17,11,5.0,0.0
17,12,5.0,0.0
17,13,2.9,0.31622776601683794
17,14,3.1,0.31622776601683794
17,15,3.0,0.816496580927726
17,16,5.0,0.0
17,17,5.0,0.0
17,18,5.0,0.0
17,19,4.3,0.48304589153964794
17,20,2.1,0.31622776601683794
17,21,5.0,0.0
17,22,5.0,0.0
17,23,5.0,0.0
17,24,0.0,0.0
17,25,0.2,0.6324555320336759
17,26,5.0,0.0
17,27,5.0,0.0
17,28,3.4,0.5163977794943223
17,29,5.0,0.0
17,30,4.8,0.6324555320336759
18,1,5.0,0.0
18,2,5.0,0.0
18,3,5.0,0.0
18,4,1.9,0.31622776601683794
18,5,0.0,0.0
18,6,5.0,0.0
18,7,5.0,0.0
18,8,5.0,0.0
18,9,1.1,0.31622776601683794
18,10,0.2,0.6324555320336759
18,11,5.0,0.0
18,12,5.0,0.0
18,13,3.4,0.6992058987801011
18,14,4.2,0.4216370213557839
18,15,4.2,1.0327955589886446
18,16,5.0,0.0
18,17,5.0,0.0
18,18,5.0,0.0
18,19,3.1,0.31622776601683794
18,20,3.0,0.0
18,21,5.0,0.0
18,22,5.0,0.0
18,23,5.0,0.0
18,24,0.0,0.0
18,25,0.2,0.6324555320336759
18,26,5.0,0.0
18,27,4.8,0.4216370213557839
18,28,4.6,0.5163977794943222
18,29,4.6,0.8432740427115678
18,30,4.0,1.0540925533894598
19,1,5.0,0.0
19,2,5.0,0.0
19,3,5.0,0.0
19,4,1.8,0.7888106377466155
19,5,5.0,0.0
19,6,5.0,0.0
19,7,5.0,0.0
19,8,5.0,0.0
19,9,3.0,0.0
19,10,2.7,0.48304589153964794
19,11,5.0,0.0
19,12,5.0,0.0
19,13,5.0,0.0
19,14,3.0,0.0
19,15,5.0,0.0
19,16,5.0,0.0
19,17,5.0,0.0
19,18,5.0,0.0
19,19,2.8,0.4216370213557839
19,20,4.9,0.31622776601683794
19,21,5.0,0.0
19,22,5.0,0.0
19,23,4.9,0.31622776601683794
19,24,3.4,0.6992058987801011
19,25,3.0,0.0
19,26,5.0,0.0
19,27,5.0,0.0
19,28,1.6,0.8432740427115678
19,29,3.0,0.0
19,30,5.0,0.0
20,1,1.5,0.8498365855987975
20,2,1.4,0.6992058987801011
20,3,0.8,0.4216370213557839
20,4,5.0,0.0
20,5,0.0,0.0
20,6,0.0,0.0
20,7,1.7,0.4830458915396479
20,8,2.5,0.5270462766947299
20,9,5.0,0.0
20,10,2.0,1.9436506316151
20,11,1.2,1.0327955589886446
20,12,1.6,0.5163977794943223
20,13,2.6,0.5163977794943223
20,14,5.0,0.0
20,15,0.0,0.0
20,16,3.0,0.0
20,17,4.5,0.5270462766947299
20,18,4.0,0.0
20,19,5.0,0.0
20,20,4.7,0.48304589153964794
20,21,5.0,0.0
20,22,4.4,0.6992058987801011
20,23,5.0,0.0
20,24,4.2,1.0327955589886446
20,25,4.6,0.699205898780101
20,26,5.0,0.0
20,27,1.6,1.5055453054181622
20,28,5.0,0.0
20,29,5.0,0.0
20,30,3.0,0.0
21,1,5.0,0.0
21,2,5.0,0.0
21,3,3.4,0.5163977794943223
21,4,1.8,0.4216370213557839
21,5,0.6,0.9660917830792958
21,6,5.0,0.0
21,7,5.0,0.0
21,8,5.0,0.0
21,9,4.1,0.31622776601683794
21,10,1.3,1.4181364924121764
21,11,5.0,0.0
21,12,5.0,0.0
21,13,4.2,0.6324555320336759
21,14,3.3,0.48304589153964794
21,15,2.0,0.0
21,16,5.0,0.0
21,17,5.0,0.0
21,18,5.0,0.0
21,19,3.9,0.31622776601683794
21,20,3.6,0.5163977794943223
21,21,5.0,0.0
21,22,5.0,0.0
21,23,4.9,0.31622776601683794
21,24,0.0,0.0
21,25,0.2,0.6324555320336759
21,26,5.0,0.0
21,27,4.0,0.0
21,28,3.1,0.31622776601683794
21,29,2.9,1.1005049346146119
21,30,3.9,0.9944289260117533
22,1,2.2,0.4216370213557839
22,2,4.5,0.5270462766947299
22,3,2.2,0.4216370213557839
22,4,2.9,0.31622776601683794
22,5,0.0,0.0
22,6,3.7,0.6749485577105528
22,7,4.7,0.48304589153964794
22,8,4.2,0.4216370213557839
22,9,2.1,0.31622776601683794
22,10,1.4,0.8432740427115678
22,11,4.9,0.31622776601683794
22,12,4.7,0.48304589153964794
22,13,4.0,0.4714045207910317
22,14,4.2,0.4216370213557839
22,15,2.3,0.6749485577105528
22,16,4.6,0.5163977794943222
22,17,5.0,0.0
22,18,4.9,0.31622776601683794
22,19,5.0,0.0
22,20,3.1,0.31622776601683794
22,21,5.0,0.0
22,22,5.0,0.0
22,23,5.0,0.0
22,24,0.0,0.0
22,25,0.2,0.6324555320336759
22,26,5.0,0.0
22,27,3.7,0.48304589153964794
22,28,5.0,0.0
22,29,5.0,0.0
22,30,3.0,0.0
23,1,5.0,0.0
23,2,5.0,0.0
23,3,2.8,0.4216370213557839
23,4,1.5,0.5270462766947299
23,5,2.6,0.5163977794943223
23,6,5.0,0.0
23,7,5.0,0.0
23,8,3.9,0.31622776601683794
23,9,2.3,0.48304589153964794
23,10,2.7,0.48304589153964794
23,11,5.0,0.0
23,12,5.0,0.0
23,13,2.9,0.31622776601683794
23,14,3.1,0.31622776601683794
23,15,2.1,0.31622776601683794
23,16,5.0,0.0
23,17,5.0,0.0
23,18,4.5,0.5270462766947299
23,19,3.8,0.4216370213557839
23,20,3.4,0.5163977794943223
23,21,5.0,0.0
23,22,5.0,0.0
23,23,5.0,0.0
23,24,0.0,0.0
23,25,1.4,0.9660917830792959
23,26,5.0,0.0
23,27,4.6,0.5163977794943222
23,28,4.0,0.0
23,29,5.0,0.0
23,30,4.7,0.6749485577105528
24,1,5.0,0.0
24,2,5.0,0.0
24,3,3.0,0.0
24,4,3.0,0.0
24,5,2.9,0.31622776601683794
24,6,5.0,0.0
24,7,5.0,0.0
24,8,5.0,0.0
24,9,2.2,0.4216370213557839
24,10,2.8,0.4216370213557839
24,11,5.0,0.0
24,12,5.0,0.0
24,13,5.0,0.0
24,14,3.1,0.31622776601683794
24,15,3.1,0.31622776601683794
24,16,5.0,0.0
24,17,5.0,0.0
24,18,5.0,0.0
24,19,5.0,0.0
24,20,5.0,0.0
24,21,5.0,0.0
24,22,5.0,0.0
24,23,5.0,0.0
24,24,0.0,0.0
24,25,1.6,1.4298407059684812
24,26,5.0,0.0
24,27,4.8,0.4216370213557839
24,28,5.0,0.0
24,29,5.0,0.0
24,30,4.6,0.8432740427115678
25,1,3.0,1.0540925533894598
25,2,1.6,1.9550504398153572
25,3,2.9,0.9944289260117533
25,4,5.0,0.0
25,5,5.0,0.0
25,6,2.7,0.48304589153964794
25,7,5.0,0.0
25,8,5.0,0.0
25,9,5.0,0.0
25,10,4.2,1.1352924243950935
25,11,5.0,0.0
25,12,5.0,0.0
25,13,5.0,0.0
25,14,5.0,0.0
25,15,5.0,0.0
