question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-18T07:07:25.841378
1,2,5,0,5,2026-06-18T07:07:26.851400
1,3,5,0,5,2026-06-18T07:07:28.666664
1,4,5,0,5,2026-06-18T07:07:36.522549
1,5,5,0,5,2026-06-18T07:07:43.903854
1,6,5,0,5,2026-06-18T07:07:46.129867
1,7,5,0,5,2026-06-18T07:07:47.749678
1,8,5,0,5,2026-06-18T07:07:54.943068
1,9,5,0,5,2026-06-18T07:07:56.767389
1,10,5,0,5,2026-06-18T07:07:57.767197
2,1,5,0,5,2026-06-18T07:07:59.583912
2,2,5,0,5,2026-06-18T07:08:07.446863
2,3,5,0,5,2026-06-18T07:08:09.470544
2,4,5,0,5,2026-06-18T07:08:11.086209
2,5,5,0,5,2026-06-18T07:08:12.893237
2,6,5,0,5,2026-06-18T07:08:20.775869
2,7,5,0,5,2026-06-18T07:08:22.187199
2,8,5,0,5,2026-06-18T07:08:23.196257
2,9,5,0,5,2026-06-18T07:08:25.213024
2,10,5,0,5,2026-06-18T07:08:32.429194
3,1,0,0,0,2026-06-18T07:08:34.639534
3,2,3,0,3,2026-06-18T07:08:36.259148
3,3,3,0,3,2026-06-18T07:08:37.873500
3,4,4,0,4,2026-06-18T07:08:39.601555
3,5,3,0,3,2026-06-18T07:08:41.418430
3,6,4,0,4,2026-06-18T07:08:43.234583
3,7,3,0,3,2026-06-18T07:08:44.643250
3,8,0,0,0,2026-06-18T07:08:51.234041
3,9,2,0,2,2026-06-18T07:08:53.242227
3,10,4,0,4,2026-06-18T07:08:54.856263
4,1,0,0,0,2026-06-18T07:08:55.875419
4,2,1,0,1,2026-06-18T07:08:56.895936
4,3,0,0,0,2026-06-18T07:09:04.802360
4,4,0,0,0,2026-06-18T07:09:06.606398
4,5,0,0,0,2026-06-18T07:09:08.429035
4,6,0,0,0,2026-06-18T07:09:13.910003
4,7,0,0,0,2026-06-18T07:09:21.142955
4,8,0,0,0,2026-06-18T07:09:22.945410
4,9,0,0,0,2026-06-18T07:09:24.362355
4,10,0,0,0,2026-06-18T07:09:26.377500
5,1,0,0,0,2026-06-18T07:09:28.802077
5,2,0,0,0,2026-06-18T07:09:32.245279
5,3,0,0,0,2026-06-18T07:09:33.668539
5,4,0,0,0,2026-06-18T07:09:41.573235
5,5,0,0,0,2026-06-18T07:09:43.202226
5,6,0,0,0,2026-06-18T07:09:44.621531
5,7,0,0,0,2026-06-18T07:09:46.055733
5,8,0,0,0,2026-06-18T07:09:53.998539
5,9,0,0,0,2026-06-18T07:09:56.897304
5,10,0,0,0,2026-06-18T07:09:58.529574
6,1,5,0,5,2026-06-18T07:09:59.740130
6,2,5,0,5,2026-06-18T07:10:06.374647
6,3,5,0,5,2026-06-18T07:10:07.782696
6,4,5,0,5,2026-06-18T07:10:09.211660
6,5,5,0,5,2026-06-18T07:10:10.673862
6,6,5,0,5,2026-06-18T07:10:18.574739
6,7,5,0,5,2026-06-18T07:10:20.196415
6,8,5,0,5,2026-06-18T07:10:22.209952
6,9,5,0,5,2026-06-18T07:10:24.015687
6,10,5,0,5,2026-06-18T07:10:25.485266
7,1,5,0,5,2026-06-18T07:10:32.715994
7,2,5,0,5,2026-06-18T07:10:39.328993
7,3,5,0,5,2026-06-18T07:10:45.909532
7,4,5,0,5,2026-06-18T07:10:54.622351
7,5,5,0,5,2026-06-18T07:11:01.263466
7,6,5,0,5,2026-06-18T07:11:02.886658
7,7,5,0,5,2026-06-18T07:11:04.741688
7,8,5,0,5,2026-06-18T07:11:05.970154
7,9,5,0,5,2026-06-18T07:11:13.178633
7,10,5,0,5,2026-06-18T07:11:14.992209
8,1,5,0,5,2026-06-18T07:11:16.618182
8,2,4,0,4,2026-06-18T07:11:18.648295
8,3,4,0,4,2026-06-18T07:11:25.868213
8,4,4,0,4,2026-06-18T07:11:27.493382
8,5,4,0,4,2026-06-18T07:11:29.083793
8,6,4,0,4,2026-06-18T07:11:29.931244
8,7,5,0,5,2026-06-18T07:11:31.762086
8,8,4,0,4,2026-06-18T07:11:38.356229
8,9,4,0,4,2026-06-18T07:11:39.791106
8,10,4,0,4,2026-06-18T07:11:40.804901
9,1,0,0,0,2026-06-18T07:11:42.611387
9,2,0,0,0,2026-06-18T07:11:44.032512
9,3,0,0,0,2026-06-18T07:11:53.591928
9,4,0,0,0,2026-06-18T07:11:55.215936
9,5,0,0,0,2026-06-18T07:11:57.231707
9,6,0,0,0,2026-06-18T07:11:58.263963
9,7,0,0,0,2026-06-18T07:12:05.464181
9,8,0,0,0,2026-06-18T07:12:07.877705
9,9,0,0,0,2026-06-18T07:12:09.079289
9,10,0,0,0,2026-06-18T07:12:10.285296
10,1,0,0,0,2026-06-18T07:12:18.142604
10,2,3,0,3,2026-06-18T07:12:21.027127
10,3,0,0,0,2026-06-18T07:12:23.040544
10,4,0,0,0,2026-06-18T07:12:30.241757
10,5,0,0,0,2026-06-18T07:12:32.485075
10,6,0,0,0,2026-06-18T07:12:33.688941
10,7,0,0,0,2026-06-18T07:12:35.503573
10,8,0,0,0,2026-06-18T07:12:39.677702
10,9,0,0,0,2026-06-18T07:12:49.154802
10,10,0,0,0,2026-06-18T07:12:54.169821
11,1,5,0,5,2026-06-18T07:12:57.319400
11,2,5,0,5,2026-06-18T07:12:58.922137
11,3,5,0,5,2026-06-18T07:13:00.364748
11,4,5,0,5,2026-06-18T07:13:07.539428
11,5,5,0,5,2026-06-18T07:13:09.161609
11,6,5,0,5,2026-06-18T07:13:10.569483
11,7,5,0,5,2026-06-18T07:13:14.046261
