item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T09:50:41.928347,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T09:50:42.166896,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T09:50:42.212388,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T09:50:42.398302,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T09:50:42.262599,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T09:50:41.915120,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T09:50:42.488316,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T09:50:41.547019,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T09:50:41.717315,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T09:50:42.223950,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T09:50:41.448413,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T09:50:42.164788,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T09:50:42.388438,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T09:50:42.304034,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T09:50:41.759610,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T09:50:41.530459,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T09:50:42.508141,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T09:50:42.470900,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T09:50:43.466672,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T09:50:43.186907,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T09:50:43.293318,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T09:50:42.782334,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T09:50:43.673907,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T09:50:43.708341,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T09:50:43.072845,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T09:50:43.552611,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T09:50:43.558130,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T09:50:43.803230,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T09:50:43.509992,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T09:50:43.841464,abstract_algebra
3,1,C,B,0,1,0,C,2026-07-30T09:50:43.841261,abstract_algebra
3,2,C,B,0,1,0,C,2026-07-30T09:50:44.220855,abstract_algebra
3,3,C,B,0,1,0,C,2026-07-30T09:50:44.034961,abstract_algebra
3,4,C,B,0,1,0,C,2026-07-30T09:50:43.905910,abstract_algebra
3,5,C,B,0,1,0,C,2026-07-30T09:50:44.334131,abstract_algebra
3,6,C,B,0,1,0,C,2026-07-30T09:50:44.330774,abstract_algebra
3,7,C,B,0,1,0,C,2026-07-30T09:50:44.446728,abstract_algebra
3,8,C,B,0,1,0,C,2026-07-30T09:50:44.738826,abstract_algebra
3,9,C,B,0,1,0,C,2026-07-30T09:50:44.914650,abstract_algebra
3,10,C,B,0,1,0,C,2026-07-30T09:50:44.356694,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T09:50:45.216575,anatomy
4,2,B,B,1,1,0,B,2026-07-30T09:50:44.438684,anatomy
4,3,B,B,1,1,0,B,2026-07-30T09:50:45.129418,anatomy
4,4,B,B,1,1,0,B,2026-07-30T09:50:45.146258,anatomy
4,5,B,B,1,1,0,B,2026-07-30T09:50:44.631631,anatomy
4,6,B,B,1,1,0,B,2026-07-30T09:50:44.891903,anatomy
4,7,B,B,1,1,0,B,2026-07-30T09:50:45.494904,anatomy
4,8,B,B,1,1,0,B,2026-07-30T09:50:44.763473,anatomy
4,9,B,B,1,1,0,B,2026-07-30T09:50:45.927571,anatomy
4,10,B,B,1,1,0,B,2026-07-30T09:50:45.688260,anatomy
5,1,D,C,0,1,0,D,2026-07-30T09:50:45.586621,anatomy
5,2,D,C,0,1,0,D,2026-07-30T09:50:45.788382,anatomy
5,3,D,C,0,1,0,D,2026-07-30T09:50:45.796041,anatomy
5,4,D,C,0,1,0,D,2026-07-30T09:50:45.507819,anatomy
5,5,D,C,0,1,0,D,2026-07-30T09:50:45.922898,anatomy
5,6,D,C,0,1,0,D,2026-07-30T09:50:45.477858,anatomy
5,7,D,C,0,1,0,D,2026-07-30T09:50:46.398414,anatomy
5,8,D,C,0,1,0,D,2026-07-30T09:50:45.793217,anatomy
5,9,D,C,0,1,0,D,2026-07-30T09:50:46.546487,anatomy
5,10,D,C,0,1,0,D,2026-07-30T09:50:46.151845,anatomy
6,1,A,A,1,1,0,A,2026-07-30T09:50:46.797605,anatomy
6,2,A,A,1,1,0,A,2026-07-30T09:50:46.626757,anatomy
6,3,A,A,1,1,0,A,2026-07-30T09:50:46.657228,anatomy
6,4,A,A,1,1,0,A,2026-07-30T09:50:46.965060,anatomy
6,5,A,A,1,1,0,A,2026-07-30T09:50:46.334851,anatomy
6,6,A,A,1,1,0,A,2026-07-30T09:50:46.545351,anatomy
6,7,A,A,1,1,0,A,2026-07-30T09:50:47.240062,anatomy
6,8,A,A,1,1,0,A,2026-07-30T09:50:46.958908,anatomy
6,9,A,A,1,1,0,A,2026-07-30T09:50:46.831301,anatomy
6,10,A,A,1,1,0,A,2026-07-30T09:50:47.071960,anatomy
7,1,B,B,1,1,0,B,2026-07-30T09:50:47.239128,anatomy
7,2,B,B,1,1,0,B,2026-07-30T09:50:46.978646,anatomy
7,3,B,B,1,1,0,B,2026-07-30T09:50:46.965279,anatomy
7,4,B,B,1,1,0,B,2026-07-30T09:50:47.611284,anatomy
7,5,B,B,1,1,0,B,2026-07-30T09:50:47.585202,anatomy
7,6,B,B,1,1,0,B,2026-07-30T09:50:48.042488,anatomy
7,7,B,B,1,1,0,B,2026-07-30T09:50:47.588672,anatomy
7,8,B,B,1,1,0,B,2026-07-30T09:50:47.398316,anatomy
7,9,B,B,1,1,0,B,2026-07-30T09:50:48.063048,anatomy
7,10,B,B,1,1,0,B,2026-07-30T09:50:47.496769,anatomy
8,1,B,B,1,1,0,B,2026-07-30T09:50:48.064139,astronomy
8,2,B,B,1,1,0,B,2026-07-30T09:50:48.277962,astronomy
8,3,B,B,1,1,0,B,2026-07-30T09:50:48.444315,astronomy
8,4,B,B,1,1,0,B,2026-07-30T09:50:48.419552,astronomy
8,5,B,B,1,1,0,B,2026-07-30T09:50:48.632276,astronomy
8,6,B,B,1,1,0,B,2026-07-30T09:50:48.029456,astronomy
8,7,B,B,1,1,0,B,2026-07-30T09:50:47.929991,astronomy
8,8,B,B,1,1,0,B,2026-07-30T09:50:48.266882,astronomy
8,9,B,B,1,1,0,B,2026-07-30T09:50:48.285546,astronomy
8,10,B,B,1,1,0,B,2026-07-30T09:50:48.245373,astronomy
9,1,A,A,1,1,0,A,2026-07-30T09:50:48.767942,astronomy
9,2,A,A,1,1,0,A,2026-07-30T09:50:48.857504,astronomy
9,3,A,A,1,1,0,A,2026-07-30T09:50:49.038453,astronomy
9,4,A,A,1,1,0,A,2026-07-30T09:50:49.073492,astronomy
9,5,A,A,1,1,0,A,2026-07-30T09:50:49.387373,astronomy
9,6,A,A,1,1,0,A,2026-07-30T09:50:49.293636,astronomy
9,7,A,A,1,1,0,A,2026-07-30T09:50:49.694691,astronomy
9,8,A,A,1,1,0,A,2026-07-30T09:50:49.716172,astronomy
9,9,A,A,1,1,0,A,2026-07-30T09:50:49.514370,astronomy
9,10,A,A,1,1,0,A,2026-07-30T09:50:49.924425,astronomy
10,1,D,D,1,1,0,D,2026-07-30T09:50:49.124718,astronomy
10,2,D,D,1,1,0,D,2026-07-30T09:50:49.952332,astronomy
10,3,D,D,1,1,0,D,2026-07-30T09:50:49.931671,astronomy
10,4,D,D,1,1,0,D,2026-07-30T09:50:49.868390,astronomy
10,5,D,D,1,1,0,D,2026-07-30T09:50:49.925282,astronomy
10,6,D,D,1,1,0,D,2026-07-30T09:50:50.110716,astronomy
10,7,D,D,1,1,0,D,2026-07-30T09:50:50.414972,astronomy
10,8,D,D,1,1,0,D,2026-07-30T09:50:49.924835,astronomy
10,9,D,D,1,1,0,D,2026-07-30T09:50:49.917546,astronomy
10,10,D,D,1,1,0,D,2026-07-30T09:50:49.924682,astronomy
11,1,D,D,1,1,0,D,2026-07-30T09:50:50.802573,astronomy
11,2,D,D,1,1,0,D,2026-07-30T09:50:50.119967,astronomy
11,3,D,D,1,1,0,D,2026-07-30T09:50:51.026352,astronomy
11,4,D,D,1,1,0,D,2026-07-30T09:50:51.166712,astronomy
