item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at
0,1,2,2,1,1,0,"Let x be the number of boxes of pizza.

12 + 5*3 + 4*1.5 + 8.5x = 50
12 + 15 + 6 + 8.5x = 50
33 + 8.5x = 50
8.5x = 17
x = 2

#### 2",2026-07-30T09:15:48.376645
0,2,2,2,1,1,0,"Let x be the number of boxes of pizza.

The total cost is:

$12 + 5($3) + 4($1.50) + x($8.50) = $50

$12 + $15 + $6 + $8.50x = $50

$33 + $8.50x = $50

$8.50x = $17

x = 2

#### 2",2026-07-30T09:15:49.014410
0,3,2,2,1,1,0,"Let x be the number of boxes of pizza.

12 + 5*3 + 4*1.5 + 8.5x = 50
12 + 15 + 6 + 8.5x = 50
33 + 8.5x = 50
8.5x = 17
x = 2

#### 2",2026-07-30T09:15:48.714207
0,4,2,2,1,1,0,"Let x be the number of boxes of pizza Marie ordered.

The total cost is:
12 + 5*3 + 4*1.5 + 8.5x = 50
12 + 15 + 6 + 8.5x = 50
33 + 8.5x = 50
8.5x = 17
x = 2

#### 2",2026-07-30T09:15:48.805031
0,5,2,2,1,1,0,"Let x be the number of boxes of pizza Marie ordered.

The total cost is:
12 + 5*3 + 4*1.5 + 8.5x = 50
12 + 15 + 6 + 8.5x = 50
33 + 8.5x = 50
8.5x = 17
x = 2

#### 2",2026-07-30T09:15:48.862653
0,6,2,2,1,1,0,"Let x be the number of pizza boxes.

12 + 5*3 + 4*1.5 + 8.5x = 50
12 + 15 + 6 + 8.5x = 50
33 + 8.5x = 50
8.5x = 17
x = 2

#### 2",2026-07-30T09:15:48.513155
0,7,2,2,1,1,0,"Let x be the number of boxes of pizza Marie ordered.

The total cost is:
$12 + 5($3) + 4($1.50) + x($8.50) = $50

$12 + $15 + $6 + $8.50x = $50

$33 + $8.50x = $50

$8.50x = $17

x = 2

#### 2",2026-07-30T09:15:48.780162
0,8,2,2,1,1,0,"Let x be the number of boxes of pizza Marie ordered.

The total cost is:
$12 + 5($3) + 4($1.50) + x($8.50) = $50

$12 + $15 + $6 + $8.50x = $50

$33 + $8.50x = $50

$8.50x = $50 - $33

$8.50x = $17

x = $17 / $8.50

x = 2

#### 2",2026-07-30T09:15:48.722001
0,9,2,2,1,1,0,"Let x be the number of boxes of pizza.

12 + 5*3 + 4*1.5 + 8.5x = 50
12 + 15 + 6 + 8.5x = 50
33 + 8.5x = 50
8.5x = 17
x = 2

#### 2",2026-07-30T09:15:48.611986
0,10,2,2,1,1,0,"Let x be the number of boxes of pizza Marie ordered.

The total cost is:
12 + 5*3 + 4*1.5 + 8.5x = 50
12 + 15 + 6 + 8.5x = 50
33 + 8.5x = 50
8.5x = 17
x = 2

#### 2",2026-07-30T09:15:48.725699
1,1,9,9,1,1,0,"Mike scores 4 points in the first 20 minutes.

In the second 20 minutes, he scores 25% more points than in the first 20 minutes. 25% of 4 is 1, so he scores 4 + 1 = 5 points in the second 20 minutes.

Total points scored = 4 + 5 = 9

#### 9",2026-07-30T09:15:48.761337
1,2,9,9,1,1,0,"Mike scores 4 points in the first 20 minutes.

In the second 20 minutes, he scores 25% more points than in the first 20 minutes. 25% of 4 is 1, so he scores 4 + 1 = 5 points in the second 20 minutes.

Total points = 4 + 5 = 9

#### 9",2026-07-30T09:15:48.673552
1,3,9,9,1,1,0,"First 20 minutes: 4 points

Second 20 minutes: 4 + 0.25 * 4 = 5 points

Total: 4 + 5 = 9 points

#### 9",2026-07-30T09:15:51.279884
1,4,9,9,1,1,0,"Mike scores 4 points in the first 20 minutes.

In the second 20 minutes, he scores 25% more points than in the first 20 minutes. 25% of 4 is 1, so he scores 4 + 1 = 5 points in the second 20 minutes.

Total points = 4 + 5 = 9

#### 9",2026-07-30T09:15:50.089378
1,5,9,9,1,1,0,"First 20 minutes: 4 points

Second 20 minutes: 4 * 1.25 = 5 points

Total: 4 + 5 = 9 points

#### 9",2026-07-30T09:15:49.647533
1,6,9,9,1,1,0,"Mike scores 4 points in the first 20 minutes.

In the second 20 minutes, he scores 25% more points than the first 20 minutes.

25% of 4 is 1, so he scores 4 + 1 = 5 points in the second 20 minutes.

Total points = 4 + 5 = 9

#### 9",2026-07-30T09:15:50.276917
1,7,9,9,1,1,0,"Mike scores 4 points in the first 20 minutes.

In the second 20 minutes, he scores 25% more points than in the first 20 minutes. 25% of 4 is 1, so he scores 4 + 1 = 5 points in the second 20 minutes.

Total points scored = 4 + 5 = 9

#### 9",2026-07-30T09:15:49.978141
1,8,9,9,1,1,0,"Mike scored 4 points in the first 20 minutes.

In the second 20 minutes, he scored 25% more points than in the first 20 minutes. 25% of 4 is 1, so he scored 4 + 1 = 5 points in the second 20 minutes.

Total points = 4 + 5 = 9

#### 9",2026-07-30T09:15:49.942432
1,9,9,9,1,1,0,"Mike scored 4 points in the first 20 minutes.

In the second 20 minutes, he scored 25% more points than in the first 20 minutes. 25% of 4 is 1, so he scored 4 + 1 = 5 points in the second 20 minutes.

Total points scored = 4 + 5 = 9

#### 9",2026-07-30T09:15:50.090132
1,10,9,9,1,1,0,"Mike scored 4 points in the first 20 minutes.

In the second 20 minutes, he scored 25% more points than in the first 20 minutes. 25% of 4 is 1, so he scored 4 + 1 = 5 points in the second 20 minutes.

Total points = 4 + 5 = 9

#### 9",2026-07-30T09:15:50.582618
2,1,75,75,1,1,0,"Terry eats 2 yogurts a day, so over 30 days he eats 2 x 30 = 60 yogurts.

The sale is 4 yogurts for $5.00, so each yogurt costs $5.00 / 4 = $1.25.

So for 60 yogurts, Terry spends 60 x $1.25 = $75.00.

#### $75.00",2026-07-30T09:15:50.301028
2,2,75,75,1,1,0,"Terry eats 2 yogurts a day, so over 30 days he eats 2 x 30 = 60 yogurts.

The sale price is 4 yogurts for $5.00, so each yogurt costs $5.00 / 4 = $1.25.

60 yogurts x $1.25 each = $75.00

#### $75.00",2026-07-30T09:15:50.147151
2,3,75,75,1,1,0,"Terry eats 2 yogurts a day, so over 30 days he eats 2 x 30 = 60 yogurts.

The sale price is 4 yogurts for $5.00, so each yogurt costs $5.00 / 4 = $1.25.

60 yogurts x $1.25 = $75.00

#### $75.00",2026-07-30T09:15:50.181766
