persona_id,question_id,average_score,standard_deviation
0,1,4.0,0.0
0,2,2.0,0.0
0,3,5.0,0.0
0,4,1.0,0.0
0,5,5.0,0.0
0,6,2.0,0.0
0,7,4.8,0.4216370213557839
0,8,1.0,0.0
0,9,4.0,0.0
0,10,5.0,0.0
0,11,5.0,0.0
0,12,1.0,0.0
0,13,5.0,0.0
0,14,2.1,0.31622776601683794
0,15,5.0,0.0
0,16,5.0,0.0
0,17,3.3,0.48304589153964794
0,18,1.9,0.31622776601683794
0,19,2.1,0.31622776601683794
0,20,5.0,0.0
0,21,2.0,0.0
0,22,3.3,0.48304589153964794
0,23,1.0,0.0
0,24,4.0,0.0
0,25,5.0,0.0
0,26,4.0,0.0
0,27,2.0,0.0
0,28,5.0,0.0
0,29,2.0,0.0
0,30,3.0,0.0
0,31,2.0,0.0
0,32,4.0,0.0
0,33,5.0,0.0
0,34,4.0,0.0
0,35,1.0,0.0
0,36,4.0,0.0
0,37,1.7,0.4830458915396479
0,38,5.0,0.0
0,39,2.0,0.0
0,40,5.0,0.0
0,41,3.0,0.0
0,42,5.0,0.0
0,43,2.0,0.0
0,44,3.0,0.0
1,1,5.0,0.0
1,2,2.0,0.0
1,3,5.0,0.0
1,4,1.0,0.0
1,5,4.6,0.5163977794943222
1,6,2.0,0.0
1,7,5.0,0.0
1,8,2.0,0.0
1,9,3.0,0.0
1,10,5.0,0.0
1,11,5.0,0.0
1,12,2.0,0.0
1,13,5.0,0.0
1,14,3.0,0.0
1,15,4.1,0.31622776601683794
1,16,5.0,0.0
1,17,3.9,0.31622776601683794
1,18,2.0,0.0
1,19,2.1,0.31622776601683794
1,20,5.0,0.0
1,21,1.0,0.0
1,22,4.0,0.0
1,23,1.0,0.0
1,24,3.0,0.0
1,25,5.0,0.0
1,26,5.0,0.0
1,27,1.8,0.4216370213557839
1,28,5.0,0.0
1,29,2.8,0.4216370213557839
1,30,5.0,0.0
1,31,1.1,0.31622776601683794
1,32,5.0,0.0
1,33,4.0,0.0
1,34,2.7,0.48304589153964794
1,35,1.0,0.0
1,36,5.0,0.0
1,37,1.8,0.42163702135578396
1,38,4.5,0.5270462766947299
1,39,2.0,0.0
1,40,5.0,0.0
1,41,1.0,0.0
1,42,5.0,0.0
1,43,2.0,0.0
1,44,4.0,0.0
2,1,4.2,0.4216370213557839
2,2,2.0,0.0
2,3,5.0,0.0
2,4,1.0,0.0
2,5,5.0,0.0
2,6,2.0,0.0
2,7,5.0,0.0
2,8,2.0,0.0
2,9,4.0,0.0
2,10,5.0,0.0
2,11,4.4,0.5163977794943222
2,12,1.0,0.0
2,13,5.0,0.0
2,14,2.0,0.0
2,15,4.0,0.0
2,16,5.0,0.0
2,17,4.0,0.0
2,18,2.0,0.0
2,19,2.0,0.0
2,20,5.0,0.0
2,21,2.0,0.0
2,22,4.0,0.0
2,23,1.6,0.5163977794943223
2,24,4.0,0.0
2,25,5.0,0.0
2,26,4.0,0.0
2,27,2.0,0.0
2,28,5.0,0.0
2,29,2.8,0.4216370213557839
2,30,5.0,0.0
2,31,2.0,0.0
2,32,5.0,0.0
2,33,4.0,0.0
2,34,4.0,0.0
2,35,1.8,0.4216370213557839
2,36,4.2,0.4216370213557839
2,37,2.0,0.0
2,38,4.9,0.31622776601683794
2,39,2.0,0.0
2,40,5.0,0.0
2,41,1.8,0.42163702135578396
2,42,5.0,0.0
2,43,2.3,0.48304589153964794
2,44,4.0,0.0
3,1,5.0,0.0
3,2,1.5,0.5270462766947299
3,3,5.0,0.0
3,4,1.0,0.0
3,5,4.2,0.4216370213557839
3,6,2.0,0.0
3,7,5.0,0.0
3,8,1.2,0.42163702135578396
3,9,4.8,0.4216370213557839
3,10,5.0,0.0
3,11,5.0,0.0
3,12,1.0,0.0
3,13,5.0,0.0
3,14,2.0,0.0
3,15,5.0,0.0
3,16,5.0,0.0
3,17,4.0,0.0
3,18,1.0,0.0
3,19,2.0,0.0
3,20,5.0,0.0
3,21,2.0,0.0
3,22,4.0,0.0
3,23,1.0,0.0
3,24,4.0,0.0
3,25,4.0,0.0
3,26,4.0,0.0
3,27,2.0,0.0
3,28,5.0,0.0
3,29,2.0,0.0
