question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-04-03T18:49:09.571867
1,2,5,0,5,2026-04-03T18:49:10.276345
1,3,5,0,5,2026-04-03T18:49:10.999203
1,4,5,0,5,2026-04-03T18:49:11.697897
1,5,5,0,5,2026-04-03T18:49:12.423351
1,6,5,0,5,2026-04-03T18:49:13.057623
1,7,5,0,5,2026-04-03T18:49:13.754727
1,8,5,0,5,2026-04-03T18:49:14.362657
1,9,5,0,5,2026-04-03T18:49:14.992764
1,10,5,0,5,2026-04-03T18:49:15.659351
2,1,5,0,5,2026-04-03T18:49:16.171179
2,2,5,0,5,2026-04-03T18:49:16.766363
2,3,5,0,5,2026-04-03T18:49:17.395191
2,4,5,0,5,2026-04-03T18:49:18.002107
2,5,5,0,5,2026-04-03T18:49:18.871607
2,6,5,0,5,2026-04-03T18:49:19.508478
2,7,5,0,5,2026-04-03T18:49:21.529839
2,8,5,0,5,2026-04-03T18:49:22.266028
2,9,5,0,5,2026-04-03T18:49:23.116412
2,10,5,0,5,2026-04-03T18:49:23.843854
3,1,1,0,1,2026-04-03T18:49:24.321082
3,2,1,0,1,2026-04-03T18:49:25.628006
3,3,0,0,0,2026-04-03T18:49:26.746888
3,4,0,0,0,2026-04-03T18:49:27.404562
3,5,0,0,0,2026-04-03T18:49:28.130838
3,6,1,0,1,2026-04-03T18:49:28.667582
3,7,0,0,0,2026-04-03T18:49:29.307151
3,8,1,0,1,2026-04-03T18:49:29.963197
3,9,1,0,1,2026-04-03T18:49:30.632299
3,10,0,0,0,2026-04-03T18:49:31.461326
4,1,1,0,1,2026-04-03T18:49:32.213396
4,2,1,0,1,2026-04-03T18:49:32.949661
4,3,1,0,1,2026-04-03T18:49:33.638543
4,4,1,0,1,2026-04-03T18:49:34.626629
4,5,1,0,1,2026-04-03T18:49:36.582557
4,6,1,0,1,2026-04-03T18:49:37.523513
4,7,0,0,0,2026-04-03T18:49:38.380873
4,8,1,0,1,2026-04-03T18:49:39.087614
4,9,1,0,1,2026-04-03T18:49:39.746467
4,10,1,0,1,2026-04-03T18:49:40.308484
5,1,3,0,3,2026-04-03T18:49:41.240004
5,2,3,0,3,2026-04-03T18:49:41.907123
5,3,3,0,3,2026-04-03T18:49:42.783633
5,4,3,0,3,2026-04-03T18:49:43.565900
5,5,3,0,3,2026-04-03T18:49:44.125159
5,6,3,0,3,2026-04-03T18:49:44.911812
5,7,3,0,3,2026-04-03T18:49:45.811396
5,8,3,0,3,2026-04-03T18:49:46.504320
5,9,3,0,3,2026-04-03T18:49:46.957025
5,10,3,0,3,2026-04-03T18:49:47.808411
6,1,5,0,5,2026-04-03T18:49:48.556937
6,2,5,0,5,2026-04-03T18:49:49.196895
6,3,5,0,5,2026-04-03T18:49:49.915900
6,4,5,0,5,2026-04-03T18:49:50.817422
6,5,5,0,5,2026-04-03T18:49:51.492358
6,6,5,0,5,2026-04-03T18:49:52.353996
6,7,5,0,5,2026-04-03T18:49:52.833267
6,8,5,0,5,2026-04-03T18:49:53.739445
6,9,5,0,5,2026-04-03T18:49:54.406793
6,10,5,0,5,2026-04-03T18:49:54.876428
7,1,5,0,5,2026-04-03T18:49:56.418480
7,2,5,0,5,2026-04-03T18:49:58.127261
7,3,5,0,5,2026-04-03T18:49:59.021458
7,4,5,0,5,2026-04-03T18:49:59.749604
7,5,5,0,5,2026-04-03T18:50:00.346424
7,6,5,0,5,2026-04-03T18:50:01.046368
7,7,5,0,5,2026-04-03T18:50:01.685779
7,8,5,0,5,2026-04-03T18:50:02.626405
7,9,5,0,5,2026-04-03T18:50:03.140813
7,10,5,0,5,2026-04-03T18:50:03.815636
8,1,3,0,3,2026-04-03T18:50:04.452111
8,2,3,0,3,2026-04-03T18:50:04.898964
8,3,3,0,3,2026-04-03T18:50:05.756488
8,4,3,0,3,2026-04-03T18:50:06.300636
8,5,3,0,3,2026-04-03T18:50:06.834841
8,6,3,0,3,2026-04-03T18:50:07.513806
8,7,3,0,3,2026-04-03T18:50:08.242256
8,8,3,0,3,2026-04-03T18:50:09.113207
8,9,3,0,3,2026-04-03T18:50:09.894506
8,10,3,0,3,2026-04-03T18:50:10.500839
9,1,1,0,1,2026-04-03T18:50:11.091672
9,2,1,0,1,2026-04-03T18:50:11.990150
9,3,1,0,1,2026-04-03T18:50:12.847906
9,4,1,0,1,2026-04-03T18:50:13.308805
9,5,1,0,1,2026-04-03T18:50:13.810120
9,6,1,0,1,2026-04-03T18:50:15.041970
9,7,1,0,1,2026-04-03T18:50:15.715541
9,8,1,0,1,2026-04-03T18:50:16.394369
9,9,1,0,1,2026-04-03T18:50:16.997328
9,10,1,0,1,2026-04-03T18:50:17.542351
10,1,1,0,1,2026-04-03T18:50:18.248305
10,2,0,0,0,2026-04-03T18:50:18.880171
10,3,0,0,0,2026-04-03T18:50:19.845450
10,4,0,0,0,2026-04-03T18:50:20.551475
10,5,0,0,0,2026-04-03T18:50:21.278442
10,6,1,0,1,2026-04-03T18:50:21.917734
10,7,1,0,1,2026-04-03T18:50:22.664827
10,8,0,0,0,2026-04-03T18:50:23.660587
