item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T13:39:42.046305,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T13:39:40.387322,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T13:39:41.985831,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T13:39:41.800567,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T13:39:40.422117,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T13:39:40.444833,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T13:39:40.280545,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T13:39:41.548182,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T13:39:39.607104,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T13:39:41.563731,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T13:39:46.104528,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T13:39:46.682031,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T13:39:45.204664,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T13:39:41.538835,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T13:39:43.089921,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T13:39:42.362449,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T13:39:43.075189,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T13:39:43.831119,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T13:39:43.089781,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T13:39:43.904644,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T13:39:44.615839,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T13:39:43.935823,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T13:39:43.797554,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T13:39:43.820914,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T13:39:44.540072,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T13:39:45.377888,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T13:39:44.550964,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T13:39:45.457927,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T13:39:45.461640,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T13:39:45.921406,abstract_algebra
3,1,D,B,0,1,0,D,2026-07-30T13:39:45.569008,abstract_algebra
3,2,D,B,0,1,0,D,2026-07-30T13:39:45.605883,abstract_algebra
3,3,D,B,0,1,0,D,2026-07-30T13:39:46.418964,abstract_algebra
3,4,D,B,0,1,0,D,2026-07-30T13:39:46.415970,abstract_algebra
3,5,D,B,0,1,0,D,2026-07-30T13:39:46.474703,abstract_algebra
3,6,D,B,0,1,0,D,2026-07-30T13:39:47.089154,abstract_algebra
3,7,D,B,0,1,0,D,2026-07-30T13:39:47.251704,abstract_algebra
3,8,D,B,0,1,0,D,2026-07-30T13:39:47.130974,abstract_algebra
3,9,D,B,0,1,0,D,2026-07-30T13:39:48.438342,abstract_algebra
3,10,D,B,0,1,0,D,2026-07-30T13:39:47.850411,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T13:39:47.070239,anatomy
4,2,B,B,1,1,0,B,2026-07-30T13:39:48.198883,anatomy
4,3,B,B,1,1,0,B,2026-07-30T13:39:47.837514,anatomy
4,4,B,B,1,1,0,B,2026-07-30T13:39:48.290893,anatomy
4,5,B,B,1,1,0,B,2026-07-30T13:39:48.293956,anatomy
4,6,B,B,1,1,0,B,2026-07-30T13:39:48.340870,anatomy
4,7,B,B,1,1,0,B,2026-07-30T13:39:48.204081,anatomy
4,8,B,B,1,1,0,B,2026-07-30T13:39:48.960807,anatomy
4,9,B,B,1,1,0,B,2026-07-30T13:39:49.371569,anatomy
4,10,B,B,1,1,0,B,2026-07-30T13:39:49.430493,anatomy
5,1,D,C,0,1,0,D,2026-07-30T13:39:49.343805,anatomy
5,2,D,C,0,1,0,D,2026-07-30T13:39:49.321383,anatomy
5,3,C,C,1,1,0,C,2026-07-30T13:39:49.504081,anatomy
5,4,D,C,0,1,0,D,2026-07-30T13:39:49.472181,anatomy
5,5,C,C,1,1,0,C,2026-07-30T13:39:50.277346,anatomy
5,6,D,C,0,1,0,D,2026-07-30T13:39:50.171670,anatomy
5,7,D,C,0,1,0,D,2026-07-30T13:39:50.378036,anatomy
5,8,C,C,1,1,0,C,2026-07-30T13:39:50.435011,anatomy
5,9,D,C,0,1,0,D,2026-07-30T13:39:50.314041,anatomy
5,10,D,C,0,1,0,D,2026-07-30T13:39:50.624729,anatomy
6,1,B,A,0,1,0,B,2026-07-30T13:39:52.567697,anatomy
6,2,B,A,0,1,0,B,2026-07-30T13:39:52.565259,anatomy
6,3,B,A,0,1,0,B,2026-07-30T13:39:51.074323,anatomy
6,4,B,A,0,1,0,B,2026-07-30T13:39:52.389017,anatomy
6,5,B,A,0,1,0,B,2026-07-30T13:39:50.935365,anatomy
6,6,A,A,1,1,0,A,2026-07-30T13:39:52.511391,anatomy
6,7,B,A,0,1,0,B,2026-07-30T13:39:52.439366,anatomy
6,8,B,A,0,1,0,B,2026-07-30T13:39:52.329997,anatomy
6,9,B,A,0,1,0,B,2026-07-30T13:39:52.377862,anatomy
6,10,B,A,0,1,0,B,2026-07-30T13:39:52.441531,anatomy
7,1,B,B,1,1,0,B,2026-07-30T13:39:52.125797,anatomy
7,2,B,B,1,1,0,B,2026-07-30T13:39:51.687313,anatomy
7,3,B,B,1,1,0,B,2026-07-30T13:39:53.227033,anatomy
7,4,B,B,1,1,0,B,2026-07-30T13:39:53.132373,anatomy
7,5,B,B,1,1,0,B,2026-07-30T13:39:53.183527,anatomy
7,6,B,B,1,1,0,B,2026-07-30T13:39:53.993789,anatomy
7,7,B,B,1,1,0,B,2026-07-30T13:39:53.988832,anatomy
7,8,B,B,1,1,0,B,2026-07-30T13:39:54.043317,anatomy
7,9,B,B,1,1,0,B,2026-07-30T13:39:54.047329,anatomy
7,10,B,B,1,1,0,B,2026-07-30T13:39:54.115343,anatomy
8,1,B,B,1,1,0,B,2026-07-30T13:39:53.946473,astronomy
8,2,B,B,1,1,0,B,2026-07-30T13:39:53.976261,astronomy
8,3,B,B,1,1,0,B,2026-07-30T13:39:54.843037,astronomy
8,4,B,B,1,1,0,B,2026-07-30T13:39:54.722991,astronomy
8,5,B,B,1,1,0,B,2026-07-30T13:39:55.446394,astronomy
8,6,B,B,1,1,0,B,2026-07-30T13:39:55.629963,astronomy
8,7,B,B,1,1,0,B,2026-07-30T13:39:55.538118,astronomy
8,8,B,B,1,1,0,B,2026-07-30T13:39:56.009249,astronomy
8,9,B,B,1,1,0,B,2026-07-30T13:39:55.060720,astronomy
8,10,B,B,1,1,0,B,2026-07-30T13:39:55.858163,astronomy
9,1,A,A,1,1,0,A,2026-07-30T13:39:55.871629,astronomy
9,2,A,A,1,1,0,A,2026-07-30T13:39:57.028599,astronomy
9,3,A,A,1,1,0,A,2026-07-30T13:39:56.982314,astronomy
9,4,A,A,1,1,0,A,2026-07-30T13:39:56.009541,astronomy
9,5,A,A,1,1,0,A,2026-07-30T13:39:57.002476,astronomy
