question_id,run_index,rating,failures,response,collected_at
1,1,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:00.554161
1,2,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:07.188750
1,3,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:13.726246
1,4,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:20.288123
1,5,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:26.912970
1,6,5,0,"5
I believe that emotional suffering is",2026-03-23T21:40:35.655476
1,7,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:42.403767
1,8,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:49.265199
1,9,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:40:55.964456
1,10,5,0,"5
Whether or not someone suffered emotionally",2026-03-23T21:41:02.613446
2,1,5,0,"5
Whether or not some people were",2026-03-23T21:41:09.339299
2,2,3,0,"3
Whether or not some people were",2026-03-23T21:41:15.999740
2,3,5,0,"5
Whether or not some people were",2026-03-23T21:41:22.537969
2,4,5,0,"5
Whether or not some people were",2026-03-23T21:41:29.508050
2,5,5,0,"5
Whether or not some people were",2026-03-23T21:41:36.165990
2,6,5,0,"5
Whether or not some people were",2026-03-23T21:41:42.716598
2,7,5,0,"5
Whether or not some people were",2026-03-23T21:41:49.377457
2,8,5,0,"5
Whether or not some people were",2026-03-23T21:41:55.915098
2,9,5,0,"5
Whether or not some people were",2026-03-23T21:42:02.548513
2,10,5,0,"5
Whether or not some people were",2026-03-23T21:42:09.161513
3,1,5,0,"5
Whether or not someone's action",2026-03-23T21:42:15.747918
3,2,5,0,"5
I believe that showing love for",2026-03-23T21:42:22.450067
3,3,5,0,"5
Whether or not someone's action",2026-03-23T21:42:28.975664
3,4,5,0,"5
Whether or not someone's action",2026-03-23T21:42:35.867201
3,5,5,0,"5
Whether or not someone's action",2026-03-23T21:42:42.625689
3,6,5,0,"5
Whether or not someone's action",2026-03-23T21:42:49.307900
3,7,5,0,"5
Whether or not someone's action",2026-03-23T21:42:56.038782
3,8,5,0,"5
Whether or not someone's action",2026-03-23T21:43:02.853901
3,9,5,0,"5
Whether or not someone's action",2026-03-23T21:43:09.556453
3,10,5,0,"5
Whether or not someone's action",2026-03-23T21:43:16.213291
4,1,5,0,"5
Respect for authority is a",2026-03-23T21:43:23.091217
4,2,5,0,"5
Respect for authority is a",2026-03-23T21:43:29.680465
4,3,5,0,"5
Respect for authority is extremely",2026-03-23T21:43:36.284562
4,4,5,0,"5
Respect for authority is a",2026-03-23T21:43:42.972075
4,5,5,0,"5
Respect for authority is a",2026-03-23T21:43:49.904181
4,6,5,0,"5
Respect for authority is extremely",2026-03-23T21:43:56.555854
4,7,5,0,"5
Respect for authority is a",2026-03-23T21:44:03.122600
4,8,5,0,"5
Respect for authority is a",2026-03-23T21:44:09.766106
4,9,5,0,"5
Respect for authority is a",2026-03-23T21:44:16.330786
4,10,5,0,"5
Respect for authority is a",2026-03-23T21:44:22.980938
5,1,5,0,"5
Whether or not someone violated standards",2026-03-23T21:44:29.531153
5,2,5,0,"5
Whether or not someone violated standards",2026-03-23T21:44:36.746949
5,3,5,0,"5
Whether or not someone violated standards",2026-03-23T21:44:43.321474
5,4,5,0,"5
I believe that violating standards of",2026-03-23T21:44:49.981948
5,5,5,0,"5
Whether or not someone violated standards",2026-03-23T21:44:56.529268
5,6,5,0,"5
Whether or not someone violated standards",2026-03-23T21:45:03.099887
5,7,5,0,"5
Whether or not someone violated standards",2026-03-23T21:45:09.684523
5,8,5,0,"5
Whether or not someone violated standards",2026-03-23T21:45:16.331642
5,9,5,0,"5
Whether or not someone violated standards",2026-03-23T21:45:22.980730
5,10,5,0,"5
Whether or not someone violated standards",2026-03-23T21:45:29.779976
6,1,5,0,"5
Caring for the weak and",2026-03-23T21:45:36.739070
6,2,5,0,"5
Caring for the weak and",2026-03-23T21:45:43.287866
6,3,5,0,"5
Caring for the weak and",2026-03-23T21:45:49.917631
6,4,5,0,"5
Caring for the weak and",2026-03-23T21:45:56.573264
6,5,5,0,"5
Caring for someone weak or",2026-03-23T21:46:03.156297
6,6,5,0,"5
Caring for the weak and",2026-03-23T21:46:09.926531
6,7,5,0,5 Whether or not someone cared for someone,2026-03-23T21:46:16.540488
6,8,5,0,"5
Caring for the weak and",2026-03-23T21:46:23.091954
6,9,5,0,"5
Caring for the weak and",2026-03-23T21:46:29.670775
6,10,5,0,"5
Caring for the weak and",2026-03-23T21:46:36.305522
7,1,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:46:43.015284
7,2,4,0,"4
Whether or not someone acted unfairly",2026-03-23T21:46:49.704118
7,3,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:46:56.373929
7,4,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:47:03.031807
7,5,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:47:09.706387
7,6,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:47:16.282537
7,7,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:47:22.898489
7,8,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:47:29.526853
7,9,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:47:36.208765
7,10,5,0,"5
Whether or not someone acted unfairly",2026-03-23T21:47:42.864276
8,1,5,0,"5
Betraying one's group",2026-03-23T21:47:49.622332
8,2,5,0,"5
Betraying one's group",2026-03-23T21:47:56.169378
8,3,5,0,"5
Betraying one's group",2026-03-23T21:48:02.832803
8,4,5,0,"5
Betraying one's group",2026-03-23T21:48:09.697282
8,5,5,0,"5
Betraying one's group",2026-03-23T21:48:16.332946
8,6,5,0,"5
Betraying one's group",2026-03-23T21:48:22.909281
8,7,5,0,"5
Betraying one's group",2026-03-23T21:48:29.559155
8,8,5,0,"5
Betraying one's group",2026-03-23T21:48:36.142678
8,9,5,0,5,2026-03-23T21:54:53.903245
8,10,5,0,5,2026-03-23T21:55:00.426242
9,1,3,0,3,2026-03-23T21:55:01.263770
9,2,3,0,3,2026-03-23T21:55:11.813724
9,3,5,0,5,2026-03-23T21:55:18.455896
9,4,3,0,3,2026-03-23T21:55:19.983003
9,5,5,0,5,2026-03-23T21:55:31.415177
9,6,3,0,3,2026-03-23T21:55:32.286777
9,7,3,0,3,2026-03-23T21:55:33.085524
9,8,3,0,3,2026-03-23T21:55:33.902918
9,9,3,0,3,2026-03-23T21:55:34.728398
9,10,5,0,5,2026-03-23T21:55:35.504542
10,1,5,0,5,2026-03-23T21:55:48.338158
10,2,5,0,5,2026-03-23T21:55:51.019407
10,3,5,0,5,2026-03-23T21:56:01.664414
10,4,5,0,5,2026-03-23T21:56:04.426183
10,5,5,0,5,2026-03-23T21:56:05.208813
10,6,5,0,5,2026-03-23T21:56:06.003257
10,7,5,0,5,2026-03-23T21:56:06.792974
10,8,5,0,5,2026-03-23T21:56:07.570950
10,9,5,0,5,2026-03-23T21:56:14.155579
10,10,5,0,5,2026-03-23T21:56:15.637774
11,1,5,0,5,2026-03-23T21:56:16.427379
11,2,5,0,5,2026-03-23T21:56:17.451846
11,3,5,0,5,2026-03-23T21:56:18.253072
11,4,5,0,5,2026-03-23T21:56:19.111531
11,5,5,0,5,2026-03-23T21:56:32.777035
11,6,5,0,5,2026-03-23T21:56:39.010892
11,7,5,0,5,2026-03-23T21:56:41.700295
11,8,5,0,5,2026-03-23T21:56:42.518730
