persona_id,question_id,average_score,standard_deviation
0,1,5.0,0.0
0,2,3.9,0.31622776601683794
0,3,4.6,0.8432740427115678
0,4,1.0,0.0
0,5,5.0,0.0
0,6,1.1,0.31622776601683794
0,7,5.0,0.0
0,8,4.0,0.0
0,9,4.3,0.6749485577105528
0,10,5.0,0.0
0,11,5.0,0.0
0,12,3.7,0.48304589153964794
0,13,5.0,0.0
0,14,4.0,0.0
0,15,5.0,0.0
0,16,5.0,0.0
0,17,1.8,1.3165611772087666
0,18,3.8,0.4216370213557839
0,19,3.0,1.4142135623730951
0,20,5.0,0.0
0,21,1.0,0.0
0,22,3.9,0.7378647873726218
0,23,1.0,0.0
0,24,4.0,0.0
0,25,5.0,0.0
0,26,5.0,0.0
0,27,4.0,0.0
0,28,5.0,0.0
0,29,4.0,0.0
0,30,3.1,0.31622776601683794
0,31,1.0,0.0
0,32,1.6,0.5163977794943223
0,33,5.0,0.0
0,34,4.9,0.31622776601683794
0,35,1.0,0.0
0,36,5.0,0.0
0,37,4.0,0.0
0,38,5.0,0.0
0,39,1.0,0.0
0,40,5.0,0.0
0,41,5.0,0.0
0,42,4.0,0.816496580927726
0,43,3.0,0.0
0,44,3.8,0.4216370213557839
1,1,5.0,0.0
1,2,1.3,0.9486832980505139
1,3,5.0,0.0
1,4,1.0,0.0
1,5,5.0,0.0
1,6,1.0,0.0
1,7,5.0,0.0
1,8,4.5,0.5270462766947299
1,9,1.0,0.0
1,10,4.6,1.2649110640673518
1,11,5.0,0.0
1,12,4.5,0.5270462766947299
1,13,2.1,1.1972189997378648
1,14,4.8,0.4216370213557839
1,15,5.0,0.0
1,16,5.0,0.0
1,17,3.1,1.8529256146249728
1,18,4.3,0.48304589153964794
1,19,1.3,0.6749485577105528
1,20,5.0,0.0
1,21,1.0,0.0
1,22,5.0,0.0
1,23,3.6,1.8973665961010275
1,24,1.1,0.31622776601683794
1,25,5.0,0.0
1,26,5.0,0.0
1,27,1.0,0.0
1,28,5.0,0.0
1,29,4.5,0.5270462766947299
1,30,5.0,0.0
1,31,1.0,0.0
1,32,4.7,0.6749485577105528
1,33,4.1,0.7378647873726218
1,34,1.0,0.0
1,35,1.0,0.0
1,36,5.0,0.0
1,37,4.6,0.5163977794943222
1,38,4.8,0.4216370213557839
1,39,1.0,0.0
1,40,5.0,0.0
1,41,1.0,0.0
1,42,5.0,0.0
1,43,5.0,0.0
1,44,5.0,0.0
2,1,5.0,0.0
2,2,1.2,0.4216370213557839
2,3,2.6,0.5163977794943223
2,4,1.2,0.4216370213557839
2,5,5.0,0.0
2,6,1.0,0.0
2,7,5.0,0.0
2,8,4.6,0.5163977794943222
2,9,4.2,0.4216370213557839
2,10,5.0,0.0
2,11,5.0,0.0
2,12,1.3,0.48304589153964794
2,13,3.7,0.48304589153964794
2,14,2.6,0.5163977794943223
2,15,5.0,0.0
2,16,5.0,0.0
2,17,5.0,0.0
2,18,4.0,0.0
2,19,1.4,0.5163977794943223
2,20,5.0,0.0
2,21,1.0,0.0
2,22,4.7,0.48304589153964794
2,23,3.6,0.5163977794943223
2,24,2.9,0.7378647873726218
2,25,5.0,0.0
2,26,4.3,0.48304589153964794
2,27,1.4,0.5163977794943223
2,28,4.7,0.48304589153964794
2,29,4.0,0.0
2,30,5.0,0.0
2,31,1.4,0.5163977794943223
2,32,4.2,0.4216370213557839
2,33,4.0,0.0
2,34,3.7,0.48304589153964794
2,35,1.0,0.0
2,36,5.0,0.0
2,37,3.9,0.31622776601683794
2,38,3.3,0.48304589153964794
2,39,2.0,0.0
2,40,5.0,0.0
2,41,1.0,0.0
2,42,5.0,0.0
2,43,4.0,0.0
2,44,3.9,0.31622776601683794
3,1,5.0,0.0
3,2,2.7,0.6749485577105528
3,3,4.8,0.6324555320336759
3,4,1.0,0.0
3,5,5.0,0.0
3,6,1.0,0.0
3,7,5.0,0.0
3,8,4.0,0.0
3,9,4.6,0.5163977794943222
3,10,5.0,0.0
3,11,5.0,0.0
3,12,1.8,1.0327955589886446
3,13,5.0,0.0
3,14,4.0,0.0
3,15,5.0,0.0
3,16,5.0,0.0
3,17,4.4,0.8432740427115678
3,18,5.0,0.0
3,19,4.2,0.4216370213557839
3,20,5.0,0.0
3,21,1.0,0.0
3,22,3.8,0.6324555320336759
3,23,1.0,0.0
3,24,3.4,0.5163977794943223
3,25,4.9,0.31622776601683794
3,26,5.0,0.0
3,27,2.4,0.8432740427115678
3,28,5.0,0.0
3,29,4.0,0.0
3,30,5.0,0.0
3,31,1.0,0.0
3,32,5.0,0.0
3,33,4.2,0.4216370213557839
3,34,5.0,0.0
3,35,1.0,0.0
3,36,5.0,0.0
3,37,3.8,0.4216370213557839
3,38,4.7,0.48304589153964794
3,39,1.1,0.31622776601683794
3,40,5.0,0.0
3,41,1.0,0.0
3,42,3.7,1.3374935098492586
3,43,3.7,0.48304589153964794
3,44,3.9,0.9944289260117533
4,1,5.0,0.0
4,2,3.0,0.0
4,3,5.0,0.0
4,4,3.0,0.0
4,5,5.0,0.0
4,6,1.0,0.0
4,7,5.0,0.0
4,8,4.4,0.5163977794943222
4,9,4.2,0.6324555320336759
4,10,5.0,0.0
4,11,5.0,0.0
4,12,3.9,0.31622776601683794
4,13,5.0,0.0
4,14,3.9,0.31622776601683794
4,15,5.0,0.0
4,16,5.0,0.0
4,17,5.0,0.0
4,18,4.1,0.31622776601683794
4,19,3.1,0.31622776601683794
4,20,5.0,0.0
4,21,1.8,1.1352924243950935
4,22,3.8,0.4216370213557839
4,23,3.0,0.0
4,24,3.0,0.0
4,25,5.0,0.0
4,26,4.5,0.5270462766947299
4,27,3.0,0.0
4,28,5.0,0.0
4,29,4.0,0.0
4,30,5.0,0.0
4,31,2.3,0.9486832980505138
4,32,5.0,0.0
4,33,3.2,0.4216370213557839
4,34,4.1,0.7378647873726218
4,35,1.0,0.0
4,36,5.0,0.0
4,37,3.8,0.4216370213557839
4,38,3.1,0.31622776601683794
4,39,3.1,0.31622776601683794
4,40,5.0,0.0
4,41,1.0,0.0
4,42,5.0,0.0
4,43,3.9,0.31622776601683794
4,44,5.0,0.0
5,1,1.8,1.0327955589886446
5,2,4.0,0.0
5,3,1.2,0.6324555320336759
5,4,3.8,0.6324555320336759
5,5,5.0,0.0
5,6,3.5,0.5270462766947299
5,7,5.0,0.0
5,8,4.4,0.5163977794943222
5,9,1.0,0.0
5,10,5.0,0.0
5,11,4.9,0.31622776601683794
5,12,3.9,0.31622776601683794
5,13,4.8,0.4216370213557839
5,14,4.5,0.5270462766947299
5,15,5.0,0.0
5,16,3.2,0.4216370213557839
5,17,1.0,0.0
5,18,2.5,1.9578900207451218
5,19,5.0,0.0
5,20,5.0,0.0
5,21,4.8,0.4216370213557839
5,22,1.6,0.9660917830792958
5,23,3.2,0.4216370213557839
5,24,3.2,0.6324555320336759
5,25,5.0,0.0
5,26,3.9,0.7378647873726218
5,27,3.9,0.31622776601683794
5,28,5.0,0.0
5,29,4.0,0.0
5,30,3.1,0.31622776601683794
5,31,3.0,0.0
5,32,1.0,0.0
5,33,5.0,0.0
5,34,4.5,0.7071067811865476
5,35,1.0,0.0
5,36,1.0,0.0
5,37,4.0,0.0
5,38,5.0,0.0
5,39,1.2,0.6324555320336759
5,40,5.0,0.0
5,41,1.4,1.2649110640673518
5,42,1.0,0.0
5,43,2.2,1.6193277068654826
5,44,4.2,0.9189365834726815
6,1,5.0,0.0
6,2,3.7,0.48304589153964794
6,3,5.0,0.0
6,4,1.0,0.0
6,5,5.0,0.0
6,6,1.0,0.0
6,7,5.0,0.0
6,8,3.9,0.31622776601683794
6,9,5.0,0.0
6,10,5.0,0.0
6,11,5.0,0.0
6,12,3.7,0.9486832980505138
6,13,5.0,0.0
6,14,3.3,0.48304589153964794
6,15,5.0,0.0
6,16,5.0,0.0
6,17,2.8,1.4757295747452437
6,18,4.0,0.0
6,19,1.9,0.8755950357709131
6,20,5.0,0.0
6,21,1.0,0.0
6,22,3.4,0.6992058987801011
6,23,1.0,0.0
6,24,3.1,0.31622776601683794
6,25,5.0,0.0
6,26,5.0,0.0
6,27,3.4,0.9660917830792959
6,28,5.0,0.0
6,29,4.7,0.48304589153964794
6,30,5.0,0.0
6,31,1.0,0.0
6,32,5.0,0.0
6,33,4.7,0.48304589153964794
6,34,5.0,0.0
6,35,1.0,0.0
6,36,5.0,0.0
6,37,4.0,0.0
6,38,3.4,0.5163977794943223
6,39,1.0,0.0
6,40,5.0,0.0
6,41,1.0,0.0
6,42,5.0,0.0
6,43,3.4,0.5163977794943223
6,44,5.0,0.0
7,1,4.9,0.31622776601683794
7,2,3.5,0.5270462766947299
7,3,3.1,0.31622776601683794
7,4,4.5,0.5270462766947299
7,5,4.9,0.31622776601683794
7,6,1.1,0.31622776601683794
7,7,5.0,0.0
7,8,4.0,0.0
7,9,1.5,0.5270462766947299
7,10,5.0,0.0
7,11,4.7,0.48304589153964794
7,12,2.2,1.0327955589886446
7,13,3.5,0.5270462766947299
7,14,4.4,0.5163977794943222
7,15,5.0,0.0
7,16,5.0,0.0
7,17,3.0,0.0
7,18,4.7,0.48304589153964794
7,19,4.8,0.4216370213557839
7,20,5.0,0.0
7,21,1.0,0.0
7,22,3.4,0.5163977794943223
7,23,3.8,0.4216370213557839
7,24,1.1,0.31622776601683794
7,25,5.0,0.0
7,26,4.8,0.4216370213557839
7,27,3.0,0.0
7,28,5.0,0.0
7,29,5.0,0.0
7,30,5.0,0.0
7,31,3.1,0.31622776601683794
7,32,3.9,0.8755950357709131
7,33,3.4,0.5163977794943223
7,34,1.8,0.9189365834726815
7,35,1.0,0.0
7,36,5.0,0.0
7,37,4.0,0.0
7,38,4.1,0.31622776601683794
7,39,4.4,0.5163977794943222
7,40,5.0,0.0
7,41,1.0,0.0
7,42,3.8,1.0327955589886446
7,43,4.0,0.0
7,44,5.0,0.0
8,1,5.0,0.0
8,2,1.0,0.0
8,3,3.8,1.0327955589886446
8,4,1.0,0.0
8,5,4.4,0.6992058987801011
8,6,1.0,0.0
8,7,5.0,0.0
8,8,4.0,0.0
8,9,5.0,0.0
8,10,4.8,0.4216370213557839
8,11,5.0,0.0
8,12,1.0,0.0
8,13,5.0,0.0
8,14,1.0,0.0
8,15,5.0,0.0
8,16,5.0,0.0
8,17,5.0,0.0
8,18,3.5,0.5270462766947299
8,19,1.0,0.0
8,20,4.4,0.6992058987801011
8,21,1.0,0.0
8,22,5.0,0.0
8,23,1.0,0.0
8,24,4.9,0.31622776601683794
8,25,4.8,0.4216370213557839
8,26,5.0,0.0
8,27,1.5,1.0801234497346435
8,28,5.0,0.0
8,29,2.8,0.6324555320336759
8,30,1.1,0.31622776601683794
8,31,1.0,0.0
8,32,3.3,0.48304589153964794
8,33,5.0,0.0
8,34,5.0,0.0
8,35,4.0,0.4714045207910317
8,36,5.0,0.0
8,37,4.4,0.5163977794943222
8,38,5.0,0.0
8,39,1.0,0.0
8,40,2.6,0.8432740427115679
8,41,5.0,0.0
8,42,5.0,0.0
8,43,2.8,0.6324555320336759
8,44,2.0,0.9428090415820634
9,1,5.0,0.0
9,2,5.0,0.0
9,3,1.6,0.9660917830792958
9,4,2.8,0.6324555320336759
9,5,5.0,0.0
9,6,1.0,0.0
9,7,5.0,0.0
9,8,4.4,0.5163977794943222
9,9,4.2,1.0327955589886446
9,10,5.0,0.0
9,11,4.8,0.6324555320336759
9,12,5.0,0.0
9,13,2.8,0.6324555320336759
9,14,3.2,0.9189365834726815
9,15,5.0,0.0
9,16,5.0,0.0
9,17,2.0,1.699673171197595
9,18,4.9,0.31622776601683794
9,19,1.0,0.0
9,20,5.0,0.0
9,21,1.0,0.0
9,22,1.2,0.6324555320336759
9,23,4.4,0.9660917830792959
9,24,1.2,0.42163702135578396
9,25,5.0,0.0
9,26,5.0,0.0
9,27,3.1,0.31622776601683794
9,28,3.4,1.577621275493231
9,29,4.9,0.31622776601683794
9,30,5.0,0.0
9,31,2.0,1.4142135623730951
9,32,1.0,0.0
9,33,3.0,0.0
9,34,2.7,0.48304589153964794
9,35,1.0,0.0
9,36,5.0,0.0
9,37,4.9,0.31622776601683794
9,38,2.5,0.7071067811865476
9,39,1.0,0.0
9,40,5.0,0.0
9,41,1.0,0.0
9,42,2.0,1.0540925533894598
9,43,4.8,0.6324555320336759
9,44,5.0,0.0
10,1,5.0,0.0
10,2,3.9,0.31622776601683794
10,3,3.7,0.6749485577105528
10,4,3.1,0.31622776601683794
10,5,5.0,0.0
10,6,1.0,0.0
10,7,4.9,0.31622776601683794
10,8,4.2,0.6324555320336759
10,9,2.8,0.6324555320336759
10,10,5.0,0.0
10,11,5.0,0.0
10,12,4.0,0.0
10,13,4.6,0.5163977794943222
10,14,4.0,0.0
10,15,5.0,0.0
10,16,5.0,0.0
10,17,3.0,0.0
10,18,4.0,0.0
10,19,3.6,0.5163977794943223
10,20,5.0,0.0
