question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-04-04T12:40:43.018518
1,2,5,0,5,2026-04-04T12:40:57.965096
1,3,5,0,5,2026-04-04T12:41:04.530886
1,4,5,0,5,2026-04-04T12:41:11.490100
1,5,5,0,5,2026-04-04T12:41:17.718552
1,6,5,0,5,2026-04-04T12:41:29.377721
1,7,5,0,5,2026-04-04T12:41:35.991541
1,8,5,0,5,2026-04-04T12:41:49.091338
1,9,5,0,5,2026-04-04T12:42:00.911125
1,10,5,0,5,2026-04-04T12:42:07.540641
2,1,5,0,5,2026-04-04T12:42:20.070496
2,2,5,0,5,2026-04-04T12:42:26.683168
2,3,5,0,5,2026-04-04T12:42:32.775382
2,4,5,0,5,2026-04-04T12:42:39.418101
2,5,5,0,5,2026-04-04T12:42:46.054109
2,6,5,0,5,2026-04-04T12:42:52.281276
2,7,5,0,5,2026-04-04T12:42:58.700834
2,8,5,0,5,2026-04-04T12:43:05.476374
2,9,4,0,4,2026-04-04T12:43:12.147636
2,10,5,0,5,2026-04-04T12:43:18.820671
3,1,3,0,3,2026-04-04T12:43:25.399310
3,2,0,0,0,2026-04-04T12:43:31.992508
3,3,0,0,0,2026-04-04T12:43:38.640984
3,4,0,0,0,2026-04-04T12:43:44.940981
3,5,3,0,3,2026-04-04T12:43:51.051118
3,6,0,0,0,2026-04-04T12:43:57.648332
3,7,3,0,3,2026-04-04T12:44:03.918873
3,8,0,0,0,2026-04-04T12:44:10.454914
3,9,0,0,0,2026-04-04T12:44:17.011880
3,10,3,0,3,2026-04-04T12:44:23.250631
4,1,3,0,3,2026-04-04T12:44:30.213721
4,2,2,0,2,2026-04-04T12:44:36.594035
4,3,0,0,0,2026-04-04T12:44:43.188355
4,4,2,0,2,2026-04-04T12:44:49.791977
4,5,3,0,3,2026-04-04T12:44:56.536449
4,6,0,0,0,2026-04-04T12:45:02.911465
4,7,2,0,2,2026-04-04T12:45:09.205608
4,8,0,0,0,2026-04-04T12:45:21.922590
4,9,2,0,2,2026-04-04T12:45:28.140193
4,10,0,0,0,2026-04-04T12:45:34.695274
5,1,3,0,3,2026-04-04T12:45:40.997268
5,2,0,0,0,2026-04-04T12:45:47.113804
5,3,0,0,0,2026-04-04T12:45:53.659751
5,4,4,0,4,2026-04-04T12:46:01.177268
5,5,4,0,4,2026-04-04T12:46:07.267878
5,6,0,0,0,2026-04-04T12:46:13.914240
5,7,0,0,0,2026-04-04T12:46:20.394374
5,8,0,0,0,2026-04-04T12:46:26.481704
5,9,3,0,3,2026-04-04T12:46:33.088483
5,10,3,0,3,2026-04-04T12:46:40.031078
6,1,5,0,5,2026-04-04T12:46:46.679399
6,2,5,0,5,2026-04-04T12:46:53.335954
6,3,5,0,5,2026-04-04T12:46:59.639490
6,4,5,0,5,2026-04-04T12:47:06.275760
6,5,5,0,5,2026-04-04T12:47:13.041250
6,6,5,0,5,2026-04-04T12:47:19.414092
6,7,5,0,5,2026-04-04T12:47:25.804322
6,8,5,0,5,2026-04-04T12:47:32.211769
6,9,5,0,5,2026-04-04T12:47:38.830046
6,10,5,0,5,2026-04-04T12:47:45.659098
7,1,5,0,5,2026-04-04T12:47:52.331540
7,2,5,0,5,2026-04-04T12:47:58.668269
7,3,5,0,5,2026-04-04T12:48:04.936949
7,4,5,0,5,2026-04-04T12:48:11.278475
7,5,5,0,5,2026-04-04T12:48:18.200097
7,6,5,0,5,2026-04-04T12:48:24.746086
7,7,5,0,5,2026-04-04T12:48:31.410915
7,8,5,0,5,2026-04-04T12:48:38.052756
7,9,5,0,5,2026-04-04T12:48:44.331591
7,10,5,0,5,2026-04-04T12:48:50.447885
8,1,3,0,3,2026-04-04T12:48:56.877396
8,2,4,0,4,2026-04-04T12:49:03.568106
8,3,3,0,3,2026-04-04T12:49:09.700134
8,4,5,0,5,2026-04-04T12:49:15.953615
8,5,3,0,3,2026-04-04T12:49:22.084384
8,6,4,0,4,2026-04-04T12:49:28.546179
8,7,4,0,4,2026-04-04T12:49:35.304131
8,8,3,0,3,2026-04-04T12:49:41.443792
8,9,3,0,3,2026-04-04T12:49:47.793331
8,10,3,0,3,2026-04-04T12:49:54.325118
9,1,0,0,0,2026-04-04T12:50:00.613961
9,2,0,0,0,2026-04-04T12:50:07.191605
9,3,0,0,0,2026-04-04T12:50:13.488451
9,4,0,0,0,2026-04-04T12:50:19.845084
9,5,0,0,0,2026-04-04T12:50:26.138795
9,6,0,0,0,2026-04-04T12:50:32.787573
9,7,0,0,0,2026-04-04T12:50:39.410586
9,8,0,0,0,2026-04-04T12:50:46.052015
9,9,0,0,0,2026-04-04T12:50:52.329666
9,10,0,0,0,2026-04-04T12:50:58.627854
10,1,0,0,0,2026-04-04T12:51:05.105688
10,2,0,0,0,2026-04-04T12:51:11.453437
10,3,0,0,0,2026-04-04T12:51:17.810928
10,4,0,0,0,2026-04-04T12:51:24.257112
10,5,0,0,0,2026-04-04T12:51:30.636516
10,6,0,0,0,2026-04-04T12:51:36.897318
10,7,0,0,0,2026-04-04T12:51:43.610744
10,8,0,0,0,2026-04-04T12:51:50.217518
10,9,0,0,0,2026-04-04T12:51:56.809749
10,10,0,0,0,2026-04-04T12:52:03.581539
11,1,5,0,5,2026-04-04T12:52:10.093111
11,2,5,0,5,2026-04-04T12:52:16.851631
11,3,5,0,5,2026-04-04T12:52:23.673605
11,4,5,0,5,2026-04-04T12:52:30.474372
11,5,5,0,5,2026-04-04T12:52:37.195628
11,6,5,0,5,2026-04-04T12:52:43.492804
11,7,5,0,5,2026-04-04T12:52:49.766682
11,8,5,0,5,2026-04-04T12:52:56.391345
11,9,5,0,5,2026-04-04T12:53:03.047184
11,10,5,0,5,2026-04-04T12:53:09.352401
12,1,5,0,5,2026-04-04T12:53:10.219066
12,2,5,0,5,2026-04-04T12:53:16.835131
12,3,5,0,5,2026-04-04T12:53:23.434161
12,4,5,0,5,2026-04-04T12:53:30.026114
12,5,5,0,5,2026-04-04T12:53:36.682843
12,6,5,0,5,2026-04-04T12:53:43.575604
12,7,5,0,5,2026-04-04T12:53:50.211927
12,8,5,0,5,2026-04-04T12:53:56.449327
12,9,5,0,5,2026-04-04T12:54:02.987147
12,10,5,0,5,2026-04-04T12:54:09.607350
13,1,3,0,3,2026-04-04T12:54:16.314331
13,2,3,0,3,2026-04-04T12:54:22.537644
13,3,4,0,4,2026-04-04T12:54:28.950275
13,4,3,0,3,2026-04-04T12:54:35.103647
13,5,4,0,4,2026-04-04T12:54:41.812660
13,6,5,0,5,2026-04-04T12:54:47.975896
13,7,3,0,3,2026-04-04T12:54:54.481903
13,8,3,0,3,2026-04-04T12:55:00.763440
13,9,4,0,4,2026-04-04T12:55:06.871038
13,10,3,0,3,2026-04-04T12:55:13.584234
14,1,5,0,5,2026-04-04T12:55:20.220378
14,2,4,0,4,2026-04-04T12:55:26.810603
14,3,4,0,4,2026-04-04T12:55:32.902626
14,4,5,0,5,2026-04-04T12:55:39.352674
14,5,5,0,5,2026-04-04T12:55:45.441326
14,6,5,0,5,2026-04-04T12:55:52.628120
14,7,4,0,4,2026-04-04T12:55:58.816948
14,8,4,0,4,2026-04-04T12:56:05.145493
14,9,5,0,5,2026-04-04T12:56:11.816610
14,10,4,0,4,2026-04-04T12:56:17.975989
15,1,5,0,5,2026-04-04T12:56:24.511003
15,2,5,0,5,2026-04-04T12:56:30.762238
15,3,5,0,5,2026-04-04T12:56:37.455661
15,4,5,0,5,2026-04-04T12:56:43.623912
15,5,0,0,0,2026-04-04T12:56:49.976690
15,6,5,0,5,2026-04-04T12:56:56.714625
15,7,5,0,5,2026-04-04T12:57:03.331307
15,8,5,0,5,2026-04-04T12:57:09.550160
15,9,5,0,5,2026-04-04T12:57:15.759507
15,10,5,0,5,2026-04-04T12:57:22.193406
16,1,5,0,5,2026-04-04T12:57:28.778998
16,2,5,0,5,2026-04-04T12:57:35.154584
16,3,5,0,5,2026-04-04T12:57:41.803922
16,4,5,0,5,2026-04-04T12:57:48.015201
16,5,5,0,5,2026-04-04T12:57:54.414893
16,6,5,0,5,2026-04-04T12:58:00.788425
16,7,5,0,5,2026-04-04T12:58:07.435289
16,8,5,0,5,2026-04-04T12:58:13.814209
16,9,5,0,5,2026-04-04T12:58:20.311492
16,10,5,0,5,2026-04-04T12:58:27.237374
17,1,5,0,5,2026-04-04T12:58:33.371741
17,2,5,0,5,2026-04-04T12:58:40.128879
17,3,5,0,5,2026-04-04T12:58:46.858676
17,4,5,0,5,2026-04-04T12:58:53.216460
17,5,5,0,5,2026-04-04T12:58:59.660100
17,6,5,0,5,2026-04-04T12:59:05.996754
17,7,5,0,5,2026-04-04T12:59:12.132174
17,8,5,0,5,2026-04-04T12:59:18.322590
17,9,5,0,5,2026-04-04T12:59:25.001045
17,10,5,0,5,2026-04-04T12:59:31.622988
18,1,5,0,5,2026-04-04T12:59:38.220984
18,2,5,0,5,2026-04-04T12:59:44.844276
18,3,5,0,5,2026-04-04T12:59:51.125900
18,4,5,0,5,2026-04-04T12:59:57.307183
18,5,5,0,5,2026-04-04T13:00:03.904614
18,6,5,0,5,2026-04-04T13:00:10.608948
18,7,5,0,5,2026-04-04T13:00:16.899697
18,8,5,0,5,2026-04-04T13:00:23.415759
18,9,5,0,5,2026-04-04T13:00:29.749779
18,10,5,0,5,2026-04-04T13:00:36.380410
19,1,5,0,5,2026-04-04T13:00:42.491744
19,2,5,0,5,2026-04-04T13:00:49.101459
19,3,5,0,5,2026-04-04T13:00:56.687587
19,4,5,0,5,2026-04-04T13:01:03.438729
19,5,5,0,5,2026-04-04T13:01:09.991600
19,6,5,0,5,2026-04-04T13:01:16.190742
19,7,5,0,5,2026-04-04T13:01:22.759225
19,8,5,0,5,2026-04-04T13:01:29.451757
19,9,5,0,5,2026-04-04T13:01:36.452048
19,10,5,0,5,2026-04-04T13:01:43.095217
20,1,0,0,0,2026-04-04T13:01:49.437299
20,2,0,0,0,2026-04-04T13:01:55.869012
20,3,0,0,0,2026-04-04T13:02:02.627362
20,4,0,0,0,2026-04-04T13:02:08.842763
20,5,0,0,0,2026-04-04T13:02:15.403115
20,6,0,0,0,2026-04-04T13:02:21.979197
20,7,0,0,0,2026-04-04T13:02:28.184638
20,8,0,0,0,2026-04-04T13:02:34.664637
20,9,0,0,0,2026-04-04T13:02:41.041541
20,10,0,0,0,2026-04-04T13:02:47.683746
21,1,5,0,5,2026-04-04T13:02:53.846472
21,2,5,0,5,2026-04-04T13:03:00.232410
21,3,5,0,5,2026-04-04T13:03:06.863149
21,4,5,0,5,2026-04-04T13:03:13.630523
21,5,5,0,5,2026-04-04T13:03:20.251956
21,6,5,0,5,2026-04-04T13:03:26.809094
21,7,5,0,5,2026-04-04T13:03:32.944262
21,8,5,0,5,2026-04-04T13:03:39.422348
21,9,5,0,5,2026-04-04T13:03:46.003550
21,10,5,0,5,2026-04-04T13:03:52.666256
22,1,5,0,5,2026-04-04T13:03:59.103711
22,2,5,0,5,2026-04-04T13:04:05.513082
22,3,5,0,5,2026-04-04T13:04:11.652348
22,4,5,0,5,2026-04-04T13:04:18.103971
22,5,5,0,5,2026-04-04T13:04:24.280031
22,6,5,0,5,2026-04-04T13:04:30.651492
22,7,5,0,5,2026-04-04T13:04:36.900968
22,8,5,0,5,2026-04-04T13:04:43.092592
22,9,5,0,5,2026-04-04T13:04:49.388407
22,10,5,0,5,2026-04-04T13:04:56.096188
23,1,4,0,4,2026-04-04T13:05:02.227984
23,2,3,0,3,2026-04-04T13:05:08.896092
23,3,3,0,3,2026-04-04T13:05:15.414890
23,4,3,0,3,2026-04-04T13:05:22.002177
23,5,3,0,3,2026-04-04T13:05:28.595876
23,6,5,0,5,2026-04-04T13:05:35.112354
