persona_id,question_id,average_score,standard_deviation
0,1,3.0,0.0
0,2,5.0,0.0
0,3,1.0,0.0
0,4,2.0,0.0
0,5,1.0,0.0
0,6,5.0,0.0
0,7,5.0,0.0
0,8,3.0,0.0
0,9,1.0,0.0
0,10,1.0,0.0
0,11,3.0,0.0
0,12,5.0,0.0
0,13,2.0,0.0
0,14,4.0,0.0
0,15,0.0,0.0
0,16,3.2,0.4216370213557839
0,17,5.0,0.0
0,18,4.0,0.0
0,19,4.0,0.0
0,20,3.0,0.0
0,21,5.0,0.0
0,22,5.0,0.0
0,23,3.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,3.0,0.0
0,27,2.8,0.4216370213557839
0,28,3.0,0.0
0,29,3.0,0.0
0,30,2.9,0.31622776601683794
1,1,5.0,0.0
1,2,5.0,0.0
1,3,3.0,0.0
1,4,2.0,0.0
1,5,0.1,0.31622776601683794
1,6,5.0,0.0
1,7,5.0,0.0
1,8,5.0,0.0
1,9,2.0,0.0
1,10,0.4,0.966091783079296
1,11,5.0,0.0
1,12,5.0,0.0
1,13,5.0,0.0
1,14,5.0,0.0
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,3.0,0.0
1,20,3.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,5.0,0.0
1,24,2.5,0.5270462766947299
1,25,0.0,0.0
1,26,2.0,0.0
1,27,3.0,0.0
1,28,3.0,0.0
1,29,3.0,0.0
1,30,3.0,0.0
2,1,5.0,0.0
2,2,5.0,0.0
2,3,3.0,0.0
2,4,2.0,0.0
2,5,3.0,0.0
2,6,5.0,0.0
2,7,5.0,0.0
2,8,3.0,0.0
2,9,2.0,0.0
2,10,2.0,0.0
2,11,5.0,0.0
2,12,5.0,0.0
2,13,3.0,0.0
2,14,3.1,0.31622776601683794
2,15,1.0,0.0
2,16,5.0,0.0
2,17,5.0,0.0
2,18,4.8,0.4216370213557839
2,19,4.0,0.0
2,20,3.0,0.0
2,21,5.0,0.0
2,22,5.0,0.0
2,23,4.0,0.0
2,24,2.0,0.0
2,25,0.0,0.0
2,26,3.0,0.0
2,27,3.0,0.0
2,28,3.9,0.31622776601683794
2,29,3.0,0.0
2,30,3.0,0.0
3,1,4.9,0.31622776601683794
3,2,5.0,0.0
3,3,2.0,0.0
3,4,2.0,0.0
3,5,1.0,0.0
3,6,5.0,0.0
3,7,5.0,0.0
3,8,3.0,0.0
3,9,3.0,0.0
3,10,1.0,0.0
3,11,5.0,0.0
3,12,5.0,0.0
3,13,3.0,0.0
3,14,3.0,0.0
3,15,2.9,0.31622776601683794
3,16,5.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,3.0,0.0
3,20,3.0,0.0
3,21,5.0,0.0
3,22,3.0,0.0
3,23,4.0,0.0
3,24,3.0,0.0
3,25,0.0,0.0
3,26,3.0,0.0
3,27,3.0,0.0
3,28,3.0,0.0
3,29,3.0,0.0
3,30,3.0,0.0
4,1,5.0,0.0
4,2,5.0,0.0
4,3,2.0,0.0
4,4,3.0,0.0
4,5,2.0,0.0
4,6,5.0,0.0
4,7,5.0,0.0
4,8,5.0,0.0
4,9,3.0,0.0
4,10,2.0,0.0
4,11,5.0,0.0
4,12,5.0,0.0
4,13,4.5,0.5270462766947299
4,14,3.7,0.48304589153964794
4,15,2.4,0.5163977794943223
4,16,5.0,0.0
4,17,5.0,0.0
4,18,3.0,0.0
4,19,3.7,0.48304589153964794
4,20,3.0,0.0
4,21,5.0,0.0
4,22,3.0,0.0
4,23,5.0,0.0
4,24,3.0,0.0
4,25,0.0,0.0
4,26,2.5,0.5270462766947299
4,27,3.0,0.0
4,28,3.0,0.0
4,29,3.0,0.0
4,30,3.0,0.0
5,1,2.0,0.0
5,2,3.0,0.0
5,3,1.0,0.0
5,4,1.0,0.0
5,5,0.0,0.0
5,6,3.0,0.0
5,7,3.0,0.0
5,8,2.0,0.0
5,9,0.1,0.31622776601683794
5,10,0.0,0.0
5,11,0.0,0.0
5,12,3.0,0.0
5,13,1.0,0.0
5,14,3.0,0.0
5,15,0.0,0.0
5,16,3.0,0.0
5,17,5.0,0.0
5,18,4.0,0.0
5,19,3.0,0.0
5,20,3.0,0.0
5,21,5.0,0.0
5,22,3.0,0.0
5,23,3.0,0.0
5,24,0.0,0.0
5,25,0.0,0.0
5,26,3.0,0.0
5,27,3.0,0.0
5,28,4.0,0.0
5,29,3.0,0.0
5,30,0.0,0.0
6,1,5.0,0.0
6,2,5.0,0.0
6,3,2.0,0.0
6,4,2.0,0.0
6,5,1.0,0.0
6,6,5.0,0.0
6,7,5.0,0.0
6,8,4.0,0.0
6,9,2.0,0.0
6,10,1.0,0.0
6,11,5.0,0.0
6,12,5.0,0.0
6,13,3.0,0.0
6,14,3.0,0.0
6,15,3.0,0.0
6,16,5.0,0.0
6,17,5.0,0.0
6,18,3.6,0.5163977794943223
6,19,4.0,0.0
6,20,3.0,0.0
6,21,5.0,0.0
6,22,5.0,0.0
6,23,4.0,0.0
6,24,2.0,0.0
6,25,0.0,0.0
6,26,3.0,0.0
6,27,3.0,0.0
6,28,3.0,0.0
6,29,3.0,0.0
6,30,3.0,0.0
7,1,5.0,0.0
7,2,5.0,0.0
7,3,3.0,0.0
7,4,2.0,0.0
7,5,2.0,0.0
7,6,5.0,0.0
7,7,5.0,0.0
7,8,4.0,0.0
7,9,2.0,0.0
7,10,2.0,0.0
7,11,5.0,0.0
7,12,5.0,0.0
7,13,3.0,0.0
7,14,3.0,0.0
7,15,2.0,0.0
7,16,5.0,0.0
7,17,5.0,0.0
7,18,5.0,0.0
7,19,3.0,0.0
7,20,3.0,0.0
7,21,5.0,0.0
7,22,5.0,0.0
7,23,4.0,0.0
7,24,2.0,0.0
7,25,0.0,0.0
7,26,3.0,0.0
7,27,5.0,0.0
7,28,2.0,0.0
7,29,2.0,0.0
7,30,2.0,0.0
8,1,3.0,0.0
8,2,3.5,0.5270462766947299
8,3,3.0,0.0
8,4,3.0,0.0
8,5,1.0,0.0
8,6,4.7,0.48304589153964794
8,7,4.0,0.0
8,8,3.0,0.0
8,9,3.0,0.0
8,10,1.0,0.0
8,11,3.0,0.0
8,12,4.8,0.4216370213557839
8,13,3.0,0.0
8,14,4.0,0.0
8,15,3.0,0.0
8,16,4.0,0.0
8,17,4.1,0.31622776601683794
8,18,5.0,0.0
8,19,5.0,0.0
8,20,3.0,0.0
8,21,5.0,0.0
8,22,3.5,0.5270462766947299
8,23,5.0,0.0
8,24,3.0,0.0
8,25,0.0,0.0
8,26,3.0,0.0
8,27,1.4,0.5163977794943223
8,28,4.0,0.0
8,29,5.0,0.0
8,30,3.0,0.0
9,1,5.0,0.0
9,2,5.0,0.0
9,3,1.0,0.0
9,4,2.0,0.0
9,5,1.0,0.0
9,6,5.0,0.0
9,7,5.0,0.0
9,8,3.0,0.0
9,9,2.0,0.0
9,10,2.0,0.0
9,11,5.0,0.0
9,12,5.0,0.0
9,13,3.0,0.0
9,14,3.0,0.0
9,15,0.0,0.0
9,16,5.0,0.0
9,17,5.0,0.0
9,18,3.0,0.0
9,19,3.0,0.0
9,20,3.0,0.0
9,21,5.0,0.0
9,22,3.0,0.0
9,23,3.0,0.0
9,24,2.0,0.0
9,25,0.0,0.0
9,26,3.0,0.0
9,27,3.0,0.0
9,28,2.0,0.0
9,29,2.0,0.0
9,30,2.0,0.0
10,1,5.0,0.0
10,2,5.0,0.0
10,3,3.0,0.0
10,4,2.0,0.0
10,5,2.0,0.0
10,6,5.0,0.0
10,7,5.0,0.0
10,8,3.0,0.0
10,9,2.0,0.0
10,10,2.0,0.0
10,11,5.0,0.0
10,12,5.0,0.0
10,13,3.0,0.0
10,14,3.0,0.0
10,15,1.0,0.0
10,16,5.0,0.0
10,17,5.0,0.0
10,18,4.4,0.5163977794943222
10,19,3.0,0.0
10,20,3.0,0.0
10,21,5.0,0.0
10,22,4.0,0.0
10,23,4.0,0.0
10,24,2.0,0.0
10,25,0.0,0.0
10,26,3.1,0.31622776601683794
10,27,3.0,0.0
10,28,2.0,0.0
10,29,2.0,0.0
10,30,2.0,0.0
11,1,5.0,0.0
11,2,5.0,0.0
11,3,2.0,0.0
11,4,2.0,0.0
11,5,1.1,0.31622776601683794
11,6,5.0,0.0
11,7,5.0,0.0
11,8,3.0,0.0
11,9,2.0,0.0
11,10,1.0,0.0
11,11,5.0,0.0
11,12,5.0,0.0
11,13,2.0,0.0
11,14,3.0,0.0
11,15,1.0,0.0
11,16,5.0,0.0
