persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,4,0,4,2026-07-03T10:53:07.646511
0,1,2,4,0,4,2026-07-03T10:53:08.594903
0,1,3,4,0,4,2026-07-03T10:53:09.112002
0,1,4,4,0,4,2026-07-03T10:53:09.873202
0,1,5,4,0,4,2026-07-03T10:53:10.555210
0,1,6,4,0,4,2026-07-03T10:53:12.035317
0,1,7,4,0,4,2026-07-03T10:53:12.664563
0,1,8,4,0,4,2026-07-03T10:53:13.729074
0,1,9,4,0,4,2026-07-03T10:53:14.331684
0,1,10,4,0,4,2026-07-03T10:53:14.961719
0,2,1,2,0,2,2026-07-03T10:53:15.639038
0,2,2,2,0,2,2026-07-03T10:53:16.226614
0,2,3,2,0,2,2026-07-03T10:53:16.778974
0,2,4,2,0,2,2026-07-03T10:53:17.832234
0,2,5,2,0,2,2026-07-03T10:53:18.519736
0,2,6,2,0,2,2026-07-03T10:53:19.077610
0,2,7,2,0,2,2026-07-03T10:53:19.621185
0,2,8,2,0,2,2026-07-03T10:53:20.277830
0,2,9,2,0,2,2026-07-03T10:53:20.956508
0,2,10,2,0,2,2026-07-03T10:53:21.644288
0,3,1,5,0,5,2026-07-03T10:53:22.243463
0,3,2,5,0,5,2026-07-03T10:53:22.819177
0,3,3,5,0,5,2026-07-03T10:53:23.388225
0,3,4,5,0,5,2026-07-03T10:53:24.103894
0,3,5,5,0,5,2026-07-03T10:53:24.700099
0,3,6,5,0,5,2026-07-03T10:53:25.282487
0,3,7,5,0,5,2026-07-03T10:53:25.854801
0,3,8,5,0,5,2026-07-03T10:53:26.565540
0,3,9,5,0,5,2026-07-03T10:53:27.321492
0,3,10,5,0,5,2026-07-03T10:53:27.901341
0,4,1,1,0,1,2026-07-03T10:53:28.430195
0,4,2,1,0,1,2026-07-03T10:53:29.039956
0,4,3,1,0,1,2026-07-03T10:53:29.658483
0,4,4,1,0,1,2026-07-03T10:53:30.186625
0,4,5,1,0,1,2026-07-03T10:53:31.015179
0,4,6,1,0,1,2026-07-03T10:53:31.544887
0,4,7,1,0,1,2026-07-03T10:53:32.436387
0,4,8,1,0,1,2026-07-03T10:53:32.935925
0,4,9,1,0,1,2026-07-03T10:53:33.525097
0,4,10,1,0,1,2026-07-03T10:53:34.122785
0,5,1,5,0,5,2026-07-03T10:53:34.692579
0,5,2,5,0,5,2026-07-03T10:53:35.353691
0,5,3,5,0,5,2026-07-03T10:53:35.929214
0,5,4,5,0,5,2026-07-03T10:53:36.525264
0,5,5,5,0,5,2026-07-03T10:53:37.086399
0,5,6,5,0,5,2026-07-03T10:53:37.644656
0,5,7,5,0,5,2026-07-03T10:53:38.291859
0,5,8,5,0,5,2026-07-03T10:53:39.104731
0,5,9,5,0,5,2026-07-03T10:53:39.649103
0,5,10,5,0,5,2026-07-03T10:53:40.261178
0,6,1,2,0,2,2026-07-03T10:53:40.933197
0,6,2,2,0,2,2026-07-03T10:53:41.500125
0,6,3,2,0,2,2026-07-03T10:53:42.064030
0,6,4,2,0,2,2026-07-03T10:53:42.653487
0,6,5,2,0,2,2026-07-03T10:53:43.193460
0,6,6,2,0,2,2026-07-03T10:53:43.827940
0,6,7,2,0,2,2026-07-03T10:53:44.415438
0,6,8,2,0,2,2026-07-03T10:53:45.008182
0,6,9,2,0,2,2026-07-03T10:53:45.589128
0,6,10,2,0,2,2026-07-03T10:53:46.230838
0,7,1,5,0,5,2026-07-03T10:53:46.790273
0,7,2,4,0,4,2026-07-03T10:53:48.182735
0,7,3,5,0,5,2026-07-03T10:53:48.918591
0,7,4,5,0,5,2026-07-03T10:53:49.584854
0,7,5,5,0,5,2026-07-03T10:53:50.406172
0,7,6,5,0,5,2026-07-03T10:53:50.986609
0,7,7,5,0,5,2026-07-03T10:53:56.497704
0,7,8,4,0,4,2026-07-03T10:53:57.462267
0,7,9,5,0,5,2026-07-03T10:53:58.015695
0,7,10,5,0,5,2026-07-03T10:53:59.621692
0,8,1,1,0,1,2026-07-03T10:54:00.162406
0,8,2,1,0,1,2026-07-03T10:54:00.773994
0,8,3,1,0,1,2026-07-03T10:54:01.672061
0,8,4,1,0,1,2026-07-03T10:54:02.177484
0,8,5,1,0,1,2026-07-03T10:54:03.232259
0,8,6,1,0,1,2026-07-03T10:54:03.859334
0,8,7,1,0,1,2026-07-03T10:54:04.675501
0,8,8,1,0,1,2026-07-03T10:54:05.301486
0,8,9,1,0,1,2026-07-03T10:54:06.028817
0,8,10,1,0,1,2026-07-03T10:54:06.623289
0,9,1,4,0,4,2026-07-03T10:54:07.319648
0,9,2,4,0,4,2026-07-03T10:54:08.050898
0,9,3,4,0,4,2026-07-03T10:54:08.809018
0,9,4,4,0,4,2026-07-03T10:54:09.466509
0,9,5,4,0,4,2026-07-03T10:54:10.069134
0,9,6,4,0,4,2026-07-03T10:54:10.673585
0,9,7,4,0,4,2026-07-03T10:54:11.328730
0,9,8,4,0,4,2026-07-03T10:54:12.237525
0,9,9,4,0,4,2026-07-03T10:54:13.060327
0,9,10,4,0,4,2026-07-03T10:54:13.692584
0,10,1,5,0,5,2026-07-03T10:54:14.357538
0,10,2,5,0,5,2026-07-03T10:54:14.928661
0,10,3,5,0,5,2026-07-03T10:54:15.502267
0,10,4,5,0,5,2026-07-03T10:54:16.148577
0,10,5,5,0,5,2026-07-03T10:54:17.128674
0,10,6,5,0,5,2026-07-03T10:54:18.477183
0,10,7,5,0,5,2026-07-03T10:54:19.129291
0,10,8,5,0,5,2026-07-03T10:54:19.743268
0,10,9,5,0,5,2026-07-03T10:54:20.371433
0,10,10,5,0,5,2026-07-03T10:54:20.957191
0,11,1,5,0,5,2026-07-03T10:54:21.599487
0,11,2,5,0,5,2026-07-03T10:54:22.191587
0,11,3,5,0,5,2026-07-03T10:54:22.798281
0,11,4,5,0,5,2026-07-03T10:54:23.411945
0,11,5,5,0,5,2026-07-03T10:54:24.034100
0,11,6,5,0,5,2026-07-03T10:54:24.945507
0,11,7,5,0,5,2026-07-03T10:54:25.615649
0,11,8,5,0,5,2026-07-03T10:54:26.397638
0,11,9,5,0,5,2026-07-03T10:54:27.059124
0,11,10,5,0,5,2026-07-03T10:54:27.814253
0,12,1,1,0,1,2026-07-03T10:54:28.413286
0,12,2,1,0,1,2026-07-03T10:54:29.069366
0,12,3,1,0,1,2026-07-03T10:54:29.716302
0,12,4,1,0,1,2026-07-03T10:54:30.318370
0,12,5,1,0,1,2026-07-03T10:54:30.932838
0,12,6,1,0,1,2026-07-03T10:54:31.500221
0,12,7,1,0,1,2026-07-03T10:54:32.366558
0,12,8,1,0,1,2026-07-03T10:54:32.952857
0,12,9,1,0,1,2026-07-03T10:54:33.457474
0,12,10,1,0,1,2026-07-03T10:54:34.033667
0,13,1,5,0,5,2026-07-03T10:54:34.560424
0,13,2,5,0,5,2026-07-03T10:54:35.254525
0,13,3,5,0,5,2026-07-03T10:54:36.185287
0,13,4,5,0,5,2026-07-03T10:54:36.773107
0,13,5,5,0,5,2026-07-03T10:54:37.424793
0,13,6,5,0,5,2026-07-03T10:54:38.048031
0,13,7,5,0,5,2026-07-03T10:54:38.651522
0,13,8,5,0,5,2026-07-03T10:54:39.419095
0,13,9,5,0,5,2026-07-03T10:54:40.164798
0,13,10,5,0,5,2026-07-03T10:54:40.785172
0,14,1,2,0,2,2026-07-03T10:54:41.544469
0,14,2,2,0,2,2026-07-03T10:54:42.181376
0,14,3,2,0,2,2026-07-03T10:54:42.771888
0,14,4,3,0,3,2026-07-03T10:54:43.448535
0,14,5,2,0,2,2026-07-03T10:54:44.017091
0,14,6,2,0,2,2026-07-03T10:54:44.585459
0,14,7,2,0,2,2026-07-03T10:54:45.280693
0,14,8,2,0,2,2026-07-03T10:54:45.929613
0,14,9,2,0,2,2026-07-03T10:54:46.633255
0,14,10,2,0,2,2026-07-03T10:54:47.214357
0,15,1,5,0,5,2026-07-03T10:54:47.877622
0,15,2,5,0,5,2026-07-03T10:54:48.670011
0,15,3,5,0,5,2026-07-03T10:54:49.316730
0,15,4,5,0,5,2026-07-03T10:54:50.051437
0,15,5,5,0,5,2026-07-03T10:54:50.615015
0,15,6,5,0,5,2026-07-03T10:54:51.205220
0,15,7,5,0,5,2026-07-03T10:54:51.863158
0,15,8,5,0,5,2026-07-03T10:54:52.495448
0,15,9,5,0,5,2026-07-03T10:54:53.057111
0,15,10,5,0,5,2026-07-03T10:54:53.797217
0,16,1,5,0,5,2026-07-03T10:54:54.374126
0,16,2,5,0,5,2026-07-03T10:54:55.082575
0,16,3,5,0,5,2026-07-03T10:54:55.755146
0,16,4,5,0,5,2026-07-03T10:54:56.360978
0,16,5,5,0,5,2026-07-03T10:54:57.018593
0,16,6,5,0,5,2026-07-03T10:54:57.595320
0,16,7,5,0,5,2026-07-03T10:54:59.100692
0,16,8,5,0,5,2026-07-03T10:54:59.633450
0,16,9,5,0,5,2026-07-03T10:55:00.220431
0,16,10,5,0,5,2026-07-03T10:55:00.770142
0,17,1,3,0,3,2026-07-03T10:55:01.356288
0,17,2,4,0,4,2026-07-03T10:55:02.008570
0,17,3,3,0,3,2026-07-03T10:55:02.669692
0,17,4,3,0,3,2026-07-03T10:55:03.487252
0,17,5,3,0,3,2026-07-03T10:55:04.131424
0,17,6,3,0,3,2026-07-03T10:55:04.818347
0,17,7,4,0,4,2026-07-03T10:55:05.737521
0,17,8,4,0,4,2026-07-03T10:55:06.567245
0,17,9,3,0,3,2026-07-03T10:55:07.275467
0,17,10,3,0,3,2026-07-03T10:55:08.048587
0,18,1,2,0,2,2026-07-03T10:55:08.596319
0,18,2,2,0,2,2026-07-03T10:55:09.197962
0,18,3,2,0,2,2026-07-03T10:55:09.813443
0,18,4,1,0,1,2026-07-03T10:55:10.569889
0,18,5,2,0,2,2026-07-03T10:55:11.331559
0,18,6,2,0,2,2026-07-03T10:55:11.819132
0,18,7,2,0,2,2026-07-03T10:55:12.476632
0,18,8,2,0,2,2026-07-03T10:55:13.003072
0,18,9,2,0,2,2026-07-03T10:55:13.671062
0,18,10,2,0,2,2026-07-03T10:55:14.281862
0,19,1,2,0,2,2026-07-03T10:55:14.957069
0,19,2,2,0,2,2026-07-03T10:55:15.579906
0,19,3,2,0,2,2026-07-03T10:55:16.206489
0,19,4,2,0,2,2026-07-03T10:55:16.784007
0,19,5,3,0,3,2026-07-03T10:55:17.352786
0,19,6,2,0,2,2026-07-03T10:55:17.947611
0,19,7,2,0,2,2026-07-03T10:55:18.513220
0,19,8,2,0,2,2026-07-03T10:55:19.092470
0,19,9,2,0,2,2026-07-03T10:55:19.610095
0,19,10,2,0,2,2026-07-03T10:55:20.203354
0,20,1,5,0,5,2026-07-03T10:55:20.833676
0,20,2,5,0,5,2026-07-03T10:55:21.410230
0,20,3,5,0,5,2026-07-03T10:55:21.921818
0,20,4,5,0,5,2026-07-03T10:55:22.450506
0,20,5,5,0,5,2026-07-03T10:55:23.082340
0,20,6,5,0,5,2026-07-03T10:55:23.731216
0,20,7,5,0,5,2026-07-03T10:55:24.244604
0,20,8,5,0,5,2026-07-03T10:55:24.828818
0,20,9,5,0,5,2026-07-03T10:55:25.400526
0,20,10,5,0,5,2026-07-03T10:55:26.147849
0,21,1,2,0,2,2026-07-03T10:55:26.808388
0,21,2,2,0,2,2026-07-03T10:55:27.409858
0,21,3,2,0,2,2026-07-03T10:55:28.457097
0,21,4,2,0,2,2026-07-03T10:55:29.275764
0,21,5,2,0,2,2026-07-03T10:55:29.904063
0,21,6,2,0,2,2026-07-03T10:55:30.567209
0,21,7,2,0,2,2026-07-03T10:55:31.187195
0,21,8,2,0,2,2026-07-03T10:55:31.843783
0,21,9,2,0,2,2026-07-03T10:55:32.554803
0,21,10,2,0,2,2026-07-03T10:55:33.136327
0,22,1,4,0,4,2026-07-03T10:55:33.888882
0,22,2,3,0,3,2026-07-03T10:55:34.811116
0,22,3,3,0,3,2026-07-03T10:55:35.373999
0,22,4,3,0,3,2026-07-03T10:55:35.911045
0,22,5,4,0,4,2026-07-03T10:55:36.583114
0,22,6,3,0,3,2026-07-03T10:55:37.169733
0,22,7,4,0,4,2026-07-03T10:55:37.784610
0,22,8,3,0,3,2026-07-03T10:55:38.442275
0,22,9,3,0,3,2026-07-03T10:55:39.160794
0,22,10,3,0,3,2026-07-03T10:55:40.329324
0,23,1,1,0,1,2026-07-03T10:55:41.144773
0,23,2,1,0,1,2026-07-03T10:55:41.853413
0,23,3,1,0,1,2026-07-03T10:55:42.431767
0,23,4,1,0,1,2026-07-03T10:55:42.981620
0,23,5,1,0,1,2026-07-03T10:55:43.624401
0,23,6,1,0,1,2026-07-03T10:55:44.150531
0,23,7,1,0,1,2026-07-03T10:55:44.936300
0,23,8,1,0,1,2026-07-03T10:55:45.747543
0,23,9,1,0,1,2026-07-03T10:55:46.334222
0,23,10,1,0,1,2026-07-03T10:55:46.960022
0,24,1,4,0,4,2026-07-03T10:55:47.623058
0,24,2,4,0,4,2026-07-03T10:55:48.254274
0,24,3,4,0,4,2026-07-03T10:55:48.942975
0,24,4,4,0,4,2026-07-03T10:55:49.633245
0,24,5,4,0,4,2026-07-03T10:55:50.484523
0,24,6,4,0,4,2026-07-03T10:55:51.247020
0,24,7,4,0,4,2026-07-03T10:55:52.452324
0,24,8,4,0,4,2026-07-03T10:55:53.160352
0,24,9,4,0,4,2026-07-03T10:55:53.857107
0,24,10,4,0,4,2026-07-03T10:55:54.556732
0,25,1,5,0,5,2026-07-03T10:55:55.229732
0,25,2,5,0,5,2026-07-03T10:55:56.297178
0,25,3,5,0,5,2026-07-03T10:55:57.193602
0,25,4,5,0,5,2026-07-03T10:55:58.857200
0,25,5,5,0,5,2026-07-03T10:55:59.535434
0,25,6,5,0,5,2026-07-03T10:56:00.416282
0,25,7,5,0,5,2026-07-03T10:56:01.009830
0,25,8,5,0,5,2026-07-03T10:56:01.709706
0,25,9,5,0,5,2026-07-03T10:56:02.262562
0,25,10,5,0,5,2026-07-03T10:56:02.890751
0,26,1,4,0,4,2026-07-03T10:56:03.527193
0,26,2,4,0,4,2026-07-03T10:56:04.145753
0,26,3,4,0,4,2026-07-03T10:56:04.760068
0,26,4,4,0,4,2026-07-03T10:56:05.468625
0,26,5,4,0,4,2026-07-03T10:56:06.269946
0,26,6,4,0,4,2026-07-03T10:56:06.927997
