question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-18T10:35:48.053451
1,2,5,0,5,2026-06-18T10:35:58.634788
1,3,5,0,5,2026-06-18T10:36:13.729349
1,4,5,0,5,2026-06-18T10:36:16.148450
1,5,5,0,5,2026-06-18T10:36:17.159481
1,6,5,0,5,2026-06-18T10:36:18.570917
1,7,5,0,5,2026-06-18T10:36:27.211099
1,8,5,0,5,2026-06-18T10:36:29.846800
1,9,4,0,4,2026-06-18T10:36:31.463023
1,10,5,0,5,2026-06-18T10:36:33.065156
2,1,4,0,4,2026-06-18T10:36:48.129048
2,2,5,0,5,2026-06-18T10:36:57.601379
2,3,4,0,4,2026-06-18T10:36:59.018950
2,4,5,0,5,2026-06-18T10:37:00.635963
2,5,4,0,4,2026-06-18T10:37:02.087468
2,6,4,0,4,2026-06-18T10:37:09.299763
2,7,5,0,5,2026-06-18T10:37:10.921572
2,8,5,0,5,2026-06-18T10:37:12.334391
2,9,5,0,5,2026-06-18T10:37:14.152688
2,10,4,0,4,2026-06-18T10:37:15.569052
3,1,0,0,0,2026-06-18T10:37:30.806986
3,2,3,0,3,2026-06-18T10:37:46.062328
3,3,3,0,3,2026-06-18T10:37:47.275675
3,4,3,0,3,2026-06-18T10:37:48.691782
3,5,0,0,0,2026-06-18T10:37:50.103854
3,6,3,0,3,2026-06-18T10:37:51.315662
3,7,3,0,3,2026-06-18T10:37:53.146700
3,8,0,0,0,2026-06-18T10:37:54.962013
3,9,3,0,3,2026-06-18T10:37:56.377513
3,10,0,0,0,2026-06-18T10:38:04.203362
4,1,3,0,3,2026-06-18T10:38:05.809210
4,2,3,0,3,2026-06-18T10:38:07.421341
4,3,4,0,4,2026-06-18T10:38:08.856772
4,4,3,0,3,2026-06-18T10:38:10.477942
4,5,3,0,3,2026-06-18T10:38:17.750227
4,6,3,0,3,2026-06-18T10:38:19.998944
4,7,4,0,4,2026-06-18T10:38:21.821223
4,8,4,0,4,2026-06-18T10:38:23.892738
4,9,3,0,3,2026-06-18T10:38:26.535139
4,10,3,0,3,2026-06-18T10:38:28.152428
5,1,4,0,4,2026-06-18T10:38:30.164212
5,2,3,0,3,2026-06-18T10:38:36.709771
5,3,3,0,3,2026-06-18T10:38:39.996020
5,4,3,0,3,2026-06-18T10:38:41.787343
5,5,3,0,3,2026-06-18T10:38:43.066313
5,6,4,0,4,2026-06-18T10:38:44.884201
5,7,4,0,4,2026-06-18T10:38:46.092858
5,8,4,0,4,2026-06-18T10:38:47.110721
5,9,3,0,3,2026-06-18T10:38:48.729608
5,10,4,0,4,2026-06-18T10:38:55.937737
6,1,5,0,5,2026-06-18T10:38:57.357095
6,2,4,0,4,2026-06-18T10:38:58.576077
6,3,5,0,5,2026-06-18T10:39:00.188763
6,4,4,0,4,2026-06-18T10:39:01.406489
6,5,5,0,5,2026-06-18T10:39:08.662736
6,6,5,0,5,2026-06-18T10:39:10.691930
6,7,4,0,4,2026-06-18T10:39:12.116055
6,8,5,0,5,2026-06-18T10:39:13.728667
6,9,4,0,4,2026-06-18T10:39:20.876980
6,10,5,0,5,2026-06-18T10:39:23.756438
7,1,5,0,5,2026-06-18T10:39:25.580463
7,2,5,0,5,2026-06-18T10:39:27.197659
7,3,5,0,5,2026-06-18T10:39:28.207929
7,4,5,0,5,2026-06-18T10:39:29.219094
7,5,5,0,5,2026-06-18T10:39:30.424472
7,6,5,0,5,2026-06-18T10:39:32.250232
7,7,5,0,5,2026-06-18T10:39:33.746402
7,8,5,0,5,2026-06-18T10:39:40.674957
7,9,5,0,5,2026-06-18T10:39:43.879659
7,10,5,0,5,2026-06-18T10:39:45.094270
8,1,4,0,4,2026-06-18T10:39:46.712100
8,2,4,0,4,2026-06-18T10:39:48.867986
8,3,3,0,3,2026-06-18T10:39:50.496537
8,4,4,0,4,2026-06-18T10:39:52.126481
8,5,4,0,4,2026-06-18T10:39:53.940930
8,6,3,0,3,2026-06-18T10:39:55.351359
8,7,5,0,5,2026-06-18T10:39:57.372583
8,8,4,0,4,2026-06-18T10:39:59.200215
8,9,4,0,4,2026-06-18T10:40:06.484193
8,10,3,0,3,2026-06-18T10:40:08.103921
9,1,3,0,3,2026-06-18T10:40:09.999196
9,2,3,0,3,2026-06-18T10:40:11.866510
9,3,3,0,3,2026-06-18T10:40:19.839150
9,4,0,0,0,2026-06-18T10:40:21.071584
9,5,3,0,3,2026-06-18T10:40:22.297141
9,6,3,0,3,2026-06-18T10:40:23.367813
9,7,3,0,3,2026-06-18T10:40:25.400214
9,8,3,0,3,2026-06-18T10:40:31.950888
9,9,3,0,3,2026-06-18T10:40:33.579491
9,10,3,0,3,2026-06-18T10:40:35.200564
10,1,0,0,0,2026-06-18T10:40:37.226179
10,2,0,0,0,2026-06-18T10:40:44.444544
10,3,0,0,0,2026-06-18T10:40:46.663636
10,4,0,0,0,2026-06-18T10:40:48.688337
10,5,0,0,0,2026-06-18T10:40:50.715464
10,6,4,0,4,2026-06-18T10:40:57.892484
10,7,0,0,0,2026-06-18T10:40:59.105329
10,8,0,0,0,2026-06-18T10:41:01.141650
10,9,0,0,0,2026-06-18T10:41:02.564194
10,10,0,0,0,2026-06-18T10:41:03.986404
11,1,5,0,5,2026-06-18T10:41:06.209841
11,2,5,0,5,2026-06-18T10:41:07.435398
11,3,5,0,5,2026-06-18T10:41:09.260665
11,4,5,0,5,2026-06-18T10:41:10.472543
11,5,5,0,5,2026-06-18T10:41:17.069566
11,6,5,0,5,2026-06-18T10:41:18.693705
11,7,5,0,5,2026-06-18T10:41:20.513631
11,8,5,0,5,2026-06-18T10:41:22.189097
11,9,5,0,5,2026-06-18T10:41:29.391627
11,10,5,0,5,2026-06-18T10:41:30.900618
12,1,5,0,5,2026-06-18T10:41:32.639941
12,2,5,0,5,2026-06-18T10:41:34.692913
12,3,5,0,5,2026-06-18T10:41:36.311134
12,4,5,0,5,2026-06-18T10:41:37.950690
12,5,5,0,5,2026-06-18T10:41:39.179941
12,6,5,0,5,2026-06-18T10:41:47.174066
12,7,5,0,5,2026-06-18T10:41:48.788532
12,8,5,0,5,2026-06-18T10:41:50.651620
12,9,5,0,5,2026-06-18T10:41:52.272756
12,10,5,0,5,2026-06-18T10:41:53.696962
13,1,3,0,3,2026-06-18T10:41:55.122582
