persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,3,0,3,2026-03-27T08:32:30.994374
0,1,2,3,0,3,2026-03-27T08:32:31.969533
0,1,3,3,0,3,2026-03-27T08:32:32.891266
0,1,4,3,0,3,2026-03-27T08:32:33.560911
0,1,5,3,0,3,2026-03-27T08:32:34.189836
0,1,6,3,0,3,2026-03-27T08:32:34.806989
0,1,7,3,0,3,2026-03-27T08:32:35.455919
0,1,8,3,0,3,2026-03-27T08:32:36.076890
0,1,9,3,0,3,2026-03-27T08:32:36.893034
0,1,10,3,0,3,2026-03-27T08:32:37.509662
0,2,1,5,0,5,2026-03-27T08:32:38.338669
0,2,2,5,0,5,2026-03-27T08:32:38.950743
0,2,3,4,0,4,2026-03-27T08:32:39.678528
0,2,4,5,0,5,2026-03-27T08:32:40.321437
0,2,5,4,0,4,2026-03-27T08:32:40.932834
0,2,6,5,0,5,2026-03-27T08:32:41.550541
0,2,7,5,0,5,2026-03-27T08:32:42.164392
0,2,8,5,0,5,2026-03-27T08:32:42.780047
0,2,9,5,0,5,2026-03-27T08:32:43.401551
0,2,10,5,0,5,2026-03-27T08:32:44.011453
0,3,1,0,0,0,2026-03-27T08:32:44.621809
0,3,2,0,0,0,2026-03-27T08:32:45.231319
0,3,3,0,0,0,2026-03-27T08:32:45.857628
0,3,4,0,0,0,2026-03-27T08:32:46.501074
0,3,5,0,0,0,2026-03-27T08:32:47.125432
0,3,6,0,0,0,2026-03-27T08:32:47.737923
0,3,7,0,0,0,2026-03-27T08:32:48.350290
0,3,8,0,0,0,2026-03-27T08:32:48.962300
0,3,9,0,0,0,2026-03-27T08:32:49.571879
0,3,10,0,0,0,2026-03-27T08:32:50.587805
0,4,1,0,0,0,2026-03-27T08:32:51.590479
0,4,2,3,0,3,2026-03-27T08:32:52.213515
0,4,3,3,0,3,2026-03-27T08:32:52.824537
0,4,4,3,0,3,2026-03-27T08:32:54.448981
0,4,5,0,0,0,2026-03-27T08:32:55.534652
0,4,6,0,0,0,2026-03-27T08:32:56.154376
0,4,7,3,0,3,2026-03-27T08:32:56.763488
0,4,8,2,0,2,2026-03-27T08:32:57.368755
0,4,9,3,0,3,2026-03-27T08:32:57.999780
0,4,10,2,0,2,2026-03-27T08:32:58.610156
0,5,1,0,0,0,2026-03-27T08:32:59.215303
0,5,2,0,0,0,2026-03-27T08:32:59.836583
0,5,3,0,0,0,2026-03-27T08:33:00.461287
0,5,4,0,0,0,2026-03-27T08:33:01.083882
0,5,5,0,0,0,2026-03-27T08:33:01.708371
0,5,6,0,0,0,2026-03-27T08:33:02.335657
0,5,7,0,0,0,2026-03-27T08:33:02.949574
0,5,8,0,0,0,2026-03-27T08:33:03.567507
0,5,9,0,0,0,2026-03-27T08:33:04.179152
0,5,10,0,0,0,2026-03-27T08:33:04.786707
0,6,1,5,0,5,2026-03-27T08:33:05.477121
0,6,2,5,0,5,2026-03-27T08:33:06.090899
0,6,3,5,0,5,2026-03-27T08:33:06.694023
0,6,4,5,0,5,2026-03-27T08:33:07.301940
0,6,5,5,0,5,2026-03-27T08:33:07.912889
0,6,6,5,0,5,2026-03-27T08:33:08.527271
0,6,7,5,0,5,2026-03-27T08:33:09.137660
0,6,8,5,0,5,2026-03-27T08:33:09.743363
0,6,9,5,0,5,2026-03-27T08:33:10.354389
0,6,10,5,0,5,2026-03-27T08:33:10.945317
0,7,1,5,0,5,2026-03-27T08:33:11.543466
0,7,2,5,0,5,2026-03-27T08:33:12.150565
0,7,3,5,0,5,2026-03-27T08:33:12.768330
0,7,4,5,0,5,2026-03-27T08:33:13.384812
0,7,5,4,0,4,2026-03-27T08:33:14.039623
0,7,6,5,0,5,2026-03-27T08:33:14.646524
0,7,7,5,0,5,2026-03-27T08:33:15.258407
0,7,8,5,0,5,2026-03-27T08:33:15.856311
0,7,9,5,0,5,2026-03-27T08:33:16.481303
0,7,10,5,0,5,2026-03-27T08:33:17.082583
0,8,1,4,0,4,2026-03-27T08:33:17.696273
0,8,2,4,0,4,2026-03-27T08:33:18.374011
0,8,3,4,0,4,2026-03-27T08:33:19.800158
0,8,4,4,0,4,2026-03-27T08:33:20.415637
0,8,5,3,0,3,2026-03-27T08:33:21.037294
0,8,6,4,0,4,2026-03-27T08:33:21.650997
0,8,7,4,0,4,2026-03-27T08:33:22.262314
0,8,8,4,0,4,2026-03-27T08:33:22.887353
0,8,9,4,0,4,2026-03-27T08:33:23.566917
0,8,10,4,0,4,2026-03-27T08:33:24.177902
0,9,1,0,0,0,2026-03-27T08:33:24.805366
0,9,2,0,0,0,2026-03-27T08:33:25.439851
0,9,3,0,0,0,2026-03-27T08:33:26.063354
0,9,4,0,0,0,2026-03-27T08:33:26.671734
0,9,5,0,0,0,2026-03-27T08:33:27.284475
0,9,6,0,0,0,2026-03-27T08:33:27.913590
0,9,7,0,0,0,2026-03-27T08:33:28.529983
0,9,8,0,0,0,2026-03-27T08:33:29.136306
0,9,9,0,0,0,2026-03-27T08:33:29.745607
0,9,10,0,0,0,2026-03-27T08:33:30.360114
0,10,1,0,0,0,2026-03-27T08:33:30.974467
0,10,2,0,0,0,2026-03-27T08:33:31.581534
0,10,3,0,0,0,2026-03-27T08:33:32.194249
0,10,4,0,0,0,2026-03-27T08:33:32.805743
0,10,5,0,0,0,2026-03-27T08:33:33.426351
0,10,6,0,0,0,2026-03-27T08:33:34.035052
0,10,7,0,0,0,2026-03-27T08:33:34.643374
0,10,8,0,0,0,2026-03-27T08:33:35.253790
0,10,9,0,0,0,2026-03-27T08:33:35.867130
0,10,10,0,0,0,2026-03-27T08:33:36.472558
0,11,1,5,0,5,2026-03-27T08:33:37.092992
0,11,2,5,0,5,2026-03-27T08:33:37.696758
0,11,3,4,0,4,2026-03-27T08:33:38.341916
0,11,4,5,0,5,2026-03-27T08:33:38.955746
0,11,5,5,0,5,2026-03-27T08:33:39.560974
0,11,6,5,0,5,2026-03-27T08:33:40.178618
0,11,7,5,0,5,2026-03-27T08:33:40.820977
0,11,8,5,0,5,2026-03-27T08:33:41.428461
0,11,9,5,0,5,2026-03-27T08:33:42.032013
0,11,10,4,0,4,2026-03-27T08:33:42.658894
0,12,1,5,0,5,2026-03-27T08:33:43.273833
0,12,2,5,0,5,2026-03-27T08:33:43.983306
0,12,3,5,0,5,2026-03-27T08:33:44.599771
0,12,4,5,0,5,2026-03-27T08:33:45.215536
0,12,5,5,0,5,2026-03-27T08:33:45.830768
0,12,6,5,0,5,2026-03-27T08:33:46.436966
0,12,7,5,0,5,2026-03-27T08:33:47.053297
0,12,8,5,0,5,2026-03-27T08:33:47.669877
0,12,9,5,0,5,2026-03-27T08:33:48.347129
