persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,2,0,2,2026-06-16T23:47:40.032615
0,1,2,3,0,3,2026-06-16T23:47:41.644171
0,1,3,3,0,3,2026-06-16T23:47:43.462550
0,1,4,3,0,3,2026-06-16T23:47:45.467985
0,1,5,2,0,2,2026-06-16T23:47:46.673385
0,1,6,2,0,2,2026-06-16T23:47:48.888573
0,1,7,2,0,2,2026-06-16T23:47:49.904081
0,1,8,2,0,2,2026-06-16T23:47:53.672786
0,1,9,3,0,3,2026-06-16T23:47:55.291213
0,1,10,3,0,3,2026-06-16T23:47:56.517323
0,2,1,5,0,5,2026-06-16T23:47:58.318854
0,2,2,5,0,5,2026-06-16T23:47:59.509876
0,2,3,5,0,5,2026-06-16T23:48:00.906365
0,2,4,5,0,5,2026-06-16T23:48:02.510179
0,2,5,5,0,5,2026-06-16T23:48:04.118462
0,2,6,5,0,5,2026-06-16T23:48:05.327132
0,2,7,5,0,5,2026-06-16T23:48:06.337464
0,2,8,5,0,5,2026-06-16T23:48:08.137972
0,2,9,5,0,5,2026-06-16T23:48:09.926634
0,2,10,5,0,5,2026-06-16T23:48:11.341329
0,3,1,1,0,1,2026-06-16T23:48:39.464546
0,3,2,1,0,1,2026-06-16T23:48:40.472311
0,3,3,1,0,1,2026-06-16T23:48:42.503729
0,3,4,1,0,1,2026-06-16T23:48:43.689671
0,3,5,1,0,1,2026-06-16T23:48:45.513660
0,3,6,1,0,1,2026-06-16T23:48:47.129900
0,3,7,1,0,1,2026-06-16T23:48:48.935523
0,3,8,1,0,1,2026-06-16T23:48:50.349575
0,3,9,1,0,1,2026-06-16T23:48:51.953524
0,3,10,1,0,1,2026-06-16T23:48:57.910596
0,4,1,1,0,1,2026-06-16T23:48:59.514271
0,4,2,1,0,1,2026-06-16T23:49:00.760726
0,4,3,1,0,1,2026-06-16T23:49:02.795928
0,4,4,1,0,1,2026-06-16T23:49:04.413034
0,4,5,1,0,1,2026-06-16T23:49:05.617328
0,4,6,1,0,1,2026-06-16T23:49:06.816241
0,4,7,1,0,1,2026-06-16T23:49:08.418922
0,4,8,1,0,1,2026-06-16T23:49:10.629685
0,4,9,1,0,1,2026-06-16T23:49:12.859018
0,4,10,1,0,1,2026-06-16T23:49:14.275081
0,5,1,1,0,1,2026-06-16T23:49:15.871021
0,5,2,1,0,1,2026-06-16T23:49:17.071956
0,5,3,1,0,1,2026-06-16T23:49:18.472199
0,5,4,1,0,1,2026-06-16T23:49:20.302787
0,5,5,1,0,1,2026-06-16T23:49:21.913714
0,5,6,1,0,1,2026-06-16T23:49:24.116448
0,5,7,1,0,1,2026-06-16T23:49:25.353847
0,5,8,1,0,1,2026-06-16T23:49:26.363951
0,5,9,1,0,1,2026-06-16T23:49:28.178897
0,5,10,1,0,1,2026-06-16T23:49:29.202395
0,6,1,4,0,4,2026-06-16T23:49:30.812677
0,6,2,4,0,4,2026-06-16T23:49:32.017867
0,6,3,4,0,4,2026-06-16T23:49:33.670416
0,6,4,4,0,4,2026-06-16T23:49:35.906676
0,6,5,4,0,4,2026-06-16T23:49:43.901238
0,6,6,4,0,4,2026-06-16T23:49:45.291295
0,6,7,4,0,4,2026-06-16T23:49:47.072104
0,6,8,4,0,4,2026-06-16T23:49:48.498993
0,6,9,4,0,4,2026-06-16T23:49:49.916305
0,6,10,4,0,4,2026-06-16T23:49:51.719846
0,7,1,5,0,5,2026-06-16T23:49:53.327565
0,7,2,5,0,5,2026-06-16T23:49:54.748016
0,7,3,5,0,5,2026-06-16T23:49:55.766288
0,7,4,5,0,5,2026-06-16T23:49:57.793277
0,7,5,5,0,5,2026-06-16T23:49:59.192731
0,7,6,5,0,5,2026-06-16T23:50:01.007729
0,7,7,5,0,5,2026-06-16T23:50:04.493030
